county_name,fips,total_births,morbidity_births,morbidity_rate,state
"Unidentified Counties, LA",22999,20434,194.0,0.009493980620534404,LA
"Androscoggin County, ME",23001,1247,21.0,0.016840417000801924,ME
"Cumberland County, ME",23005,2830,38.0,0.01342756183745583,ME
"Kennebec County, ME",23011,1164,14.0,0.012027491408934709,ME
"Penobscot County, ME",23019,1483,19.0,0.012811867835468645,ME
"York County, ME",23031,1898,28.0,0.014752370916754479,ME
"Unidentified Counties, ME",23999,4083,59.0,0.014450159196669116,ME
"Anne Arundel County, MD",24003,6967,55.0,0.00789435912157313,MD
"Baltimore County, MD",24005,9838,112.0,0.011384427729213255,MD
"Carroll County, MD",24013,1737,75.0,0.04317789291882556,MD
"Cecil County, MD",24015,1106,23.0,0.020795660036166366,MD
"Charles County, MD",24017,1812,16.0,0.008830022075055188,MD
"Frederick County, MD",24021,2839,28.0,0.009862627685804861,MD
"Harford County, MD",24025,2699,24.0,0.00889218228973694,MD
"Howard County, MD",24027,3569,61.0,0.017091622303166153,MD
"Montgomery County, MD",24031,13123,152.0,0.01158271736645584,MD
"Prince George's County, MD",24033,12296,148.0,0.012036434612882238,MD
"St. Mary's County, MD",24037,1425,24.0,0.016842105263157894,MD
"Washington County, MD",24043,1694,30.0,0.01770956316410862,MD
"Baltimore city, MD",24510,8504,129.0,0.015169332079021637,MD
"Unidentified Counties, MD",24999,5527,68.0,0.012303238646643748,MD
"Barnstable County, MA",25001,1601,0.0,0.0,MA
"Berkshire County, MA",25003,1027,12.0,0.011684518013631937,MA
"Bristol County, MA",25005,5643,55.0,0.009746588693957114,MA
"Essex County, MA",25009,8386,75.0,0.00894347722394467,MA
"Hampden County, MA",25013,4956,63.0,0.012711864406779662,MA
"Hampshire County, MA",25015,1009,21.0,0.02081268582755203,MA
"Middlesex County, MA",25017,17198,217.0,0.012617746249563903,MA
"Norfolk County, MA",25021,7341,123.0,0.016755210461789946,MA
"Plymouth County, MA",25023,5135,91.0,0.017721518987341773,MA
"Suffolk County, MA",25025,9384,188.0,0.020034100596760442,MA
"Worcester County, MA",25027,8678,225.0,0.02592763309518322,MA
"Unidentified Counties, MA",25999,959,14.0,0.014598540145985401,MA
"Allegan County, MI",26005,1364,12.0,0.008797653958944282,MI
