State,Subspecialty,Provider Count,State Total,Percent of State
CT,Reproductive Endocrinology,43,956,4.5
DC,Female Pelvic Medicine and Reconstructive Surgery,7,338,2.1
DC,Gynecologic Oncology,9,338,2.7
DC,Gynecology,30,338,8.9
DC,Maternal & Fetal Medicine,17,338,5.0
DC,Obstetrics,6,338,1.8
DC,Obstetrics & Gynecology,260,338,76.9
DC,Reproductive Endocrinology,8,338,2.4
DE,Critical Care Medicine,1,190,0.5
DE,Female Pelvic Medicine and Reconstructive Surgery,2,190,1.1
DE,Gynecologic Oncology,7,190,3.7
DE,Gynecology,6,190,3.2
DE,Maternal & Fetal Medicine,8,190,4.2
DE,Obstetrics,2,190,1.1
DE,Obstetrics & Gynecology,158,190,83.2
DE,Reproductive Endocrinology,5,190,2.6
FL,Critical Care Medicine,3,3628,0.1
FL,Female Pelvic Medicine and Reconstructive Surgery,55,3628,1.5
FL,Gynecologic Oncology,109,3628,3.0
FL,Gynecology,385,3628,10.6
FL,Hospice and Palliative Medicine,9,3628,0.2
FL,Maternal & Fetal Medicine,115,3628,3.2
FL,Obesity Medicine,2,3628,0.1
FL,Obstetrics,103,3628,2.8
FL,Obstetrics & Gynecology,2762,3628,76.1
FL,Reproductive Endocrinology,85,3628,2.3
GA,Critical Care Medicine,1,1905,0.1
GA,Female Pelvic Medicine and Reconstructive Surgery,21,1905,1.1
GA,Gynecologic Oncology,42,1905,2.2
GA,Gynecology,179,1905,9.4
GA,Hospice and Palliative Medicine,6,1905,0.3
GA,Maternal & Fetal Medicine,56,1905,2.9
GA,Obstetrics,62,1905,3.3
GA,Obstetrics & Gynecology,1491,1905,78.3
GA,Reproductive Endocrinology,47,1905,2.5
HI,Female Pelvic Medicine and Reconstructive Surgery,1,347,0.3
HI,Gynecologic Oncology,6,347,1.7
HI,Gynecology,15,347,4.3
HI,Maternal & Fetal Medicine,6,347,1.7
HI,Obstetrics,5,347,1.4
HI,Obstetrics & Gynecology,307,347,88.5
HI,Reproductive Endocrinology,7,347,2.0
IA,Female Pelvic Medicine and Reconstructive Surgery,4,411,1.0
IA,Gynecologic Oncology,4,411,1.0
IA,Gynecology,18,411,4.4
IA,Maternal & Fetal Medicine,10,411,2.4
IA,Obstetrics,12,411,2.9
IA,Obstetrics & Gynecology,356,411,86.6
IA,Reproductive Endocrinology,7,411,1.7
ID,Female Pelvic Medicine and Reconstructive Surgery,1,236,0.4
ID,Gynecologic Oncology,5,236,2.1
ID,Gynecology,9,236,3.8
ID,Maternal & Fetal Medicine,13,236,5.5
ID,Obstetrics,5,236,2.1
ID,Obstetrics & Gynecology,199,236,84.3
ID,Reproductive Endocrinology,4,236,1.7
IL,Critical Care Medicine,1,2586,0.0
IL,Female Pelvic Medicine and Reconstructive Surgery,33,2586,1.3
IL,Gynecologic Oncology,59,2586,2.3
IL,Gynecology,124,2586,4.8
IL,Hospice and Palliative Medicine,6,2586,0.2
IL,Maternal & Fetal Medicine,91,2586,3.5
IL,Obesity Medicine,1,2586,0.0
IL,Obstetrics,65,2586,2.5
IL,Obstetrics & Gynecology,2138,2586,82.7
IL,Reproductive Endocrinology,63,2586,2.4
IN,Female Pelvic Medicine and Reconstructive Surgery,15,1099,1.4
IN,Gynecologic Oncology,13,1099,1.2
IN,Gynecology,57,1099,5.2
IN,Hospice and Palliative Medicine,2,1099,0.2
IN,Maternal & Fetal Medicine,31,1099,2.8
IN,Obstetrics,31,1099,2.8
IN,Obstetrics & Gynecology,932,1099,84.8
IN,Reproductive Endocrinology,18,1099,1.6
KS,Female Pelvic Medicine and Reconstructive Surgery,5,448,1.1
KS,Gynecologic Oncology,9,448,2.0
KS,Gynecology,16,448,3.6
