fips,n_obgyn,n_connected,n_hubs,n_isolated,mean_degree,median_degree,max_degree,mean_betweenness,mean_eigenvector,mean_weighted_degree,n_subspecialties,dominant_state,pct_connected,pct_isolated,pct_hub,county_name,total_births,morbidity_births,morbidity_rate,state,obgyn_per_10k_births,target,target_label
08031,223,20,1,203,1.8789237668161436,0.0,379,3.0547952625849014e-07,2.113367819803606e-09,44.152466367713004,7,CO,9.0,91.0,0.4,"Denver County, CO",10006,171.0,0.0170897461523086,CO,222.87,True,Target (High Risk + Weak Network)
08035,99,5,1,94,0.36363636363636365,0.0,28,1.0932626757282293e-07,1.0273984416468077e-15,5.646464646464646,6,CO,5.1,94.9,1.0,"Douglas County, CO",3488,68.0,0.0194954128440367,CO,283.83,True,Target (High Risk + Weak Network)
08041,113,13,1,100,0.584070796460177,0.0,39,4.5038791438236184e-07,1.8786541897255586e-09,10.256637168141593,6,CO,11.5,88.5,0.9,"El Paso County, CO",9490,83.0,0.0087460484720758,CO,119.07,False,Other
08059,70,1,0,69,0.02857142857142857,0.0,2,0.0,3.14899017507556e-21,0.35714285714285715,4,CO,1.4,98.6,0.0,"Jefferson County, CO",6104,67.0,0.0109764089121887,CO,114.68,False,Other
08069,47,10,0,37,0.5531914893617021,0.0,9,0.0,-5.509845793334067e-20,8.574468085106384,5,CO,21.3,78.7,0.0,"Larimer County, CO",3375,35.0,0.0103703703703703,CO,139.26,False,Other
08077,29,5,1,24,0.9655172413793104,0.0,20,1.817162680695119e-08,-1.7858139880576675e-21,15.241379310344827,4,CO,17.2,82.8,3.4,"Mesa County, CO",1770,16.0,0.0090395480225988,CO,163.84,False,Other
08101,24,8,0,16,0.7916666666666666,0.0,6,2.2084059597838843e-07,2.0866108569303407e-15,11.333333333333334,3,CO,33.3,66.7,0.0,"Pueblo County, CO",1883,19.0,0.0100902814657461,CO,127.46,False,Other
08123,22,3,1,19,1.0,0.0,20,2.763866315043276e-08,3.0670901890456854e-20,13.454545454545455,3,CO,13.6,86.4,4.5,"Weld County, CO",4306,50.0,0.011611704598235,CO,51.09,False,Other
09001,295,91,2,204,1.0983050847457627,0.0,59,0.0001204903471798699,4.2468162744158035e-16,20.840677966101694,9,CT,30.8,69.2,0.7,"Fairfield County, CT",10064,108.0,0.0107313195548489,CT,293.12,False,Other
09003,238,87,0,151,0.773109243697479,0.0,8,7.581896914036862e-06,-6.611139007230162e-19,14.823529411764707,7,CT,36.6,63.4,0.0,"Hartford County, CT",9442,94.0,0.0099555178987502,CT,252.07,False,Other
09005,14,11,0,3,3.642857142857143,3.0,11,9.437813789782775e-06,-8.67143602032323e-19,61.642857142857146,1,CT,78.6,21.4,0.0,"Litchfield County, CT",1422,23.0,0.0161744022503516,CT,98.45,False,Other
09007,23,8,0,15,2.5217391304347827,0.0,13,5.780269899214003e-05,-6.845879687921257e-19,43.17391304347826,3,CT,34.8,65.2,0.0,"Middlesex County, CT",1277,22.0,0.0172278778386844,CT,180.11,False,Other
09009,243,58,2,185,0.8559670781893004,0.0,29,5.597710902253134e-05,-1.5008863982751775e-19,13.469135802469136,7,CT,23.9,76.1,0.8,"New Haven County, CT",8886,131.0,0.0147422912446545,CT,273.46,False,Other
09011,36,16,1,20,2.25,0.0,22,1.7324374707071387e-05,-1.805638225487502e-19,34.833333333333336,3,CT,44.4,55.6,2.8,"New London County, CT",2647,22.0,0.0083112958065734,CT,136.0,False,Other
09013,10,5,0,5,1.1,0.5,3,5.7724269278446795e-05,-7.000220292987572e-19,17.4,2,CT,50.0,50.0,0.0,"Tolland County, CT",1175,20.0,0.0170212765957446,CT,85.11,False,Other
09015,13,3,0,10,0.6923076923076923,0.0,5,1.0913728526068321e-08,7.650524829284234e-20,9.538461538461538,2,CT,23.1,76.9,0.0,"Windham County, CT",1102,25.0,0.0226860254083484,CT,117.97,False,Other
10001,15,9,3,6,7.133333333333334,3.0,29,0.0031540884681553294,-3.164536520271737e-19,104.2,3,DE,60.0,40.0,20.0,"Kent County, DE",2190,53.0,0.0242009132420091,DE,68.49,False,Other
10003,112,29,2,83,1.7053571428571428,0.0,55,0.0004685715204798586,2.0979086427587668e-19,26.339285714285715,7,DE,25.9,74.1,1.8,"New Castle County, DE",6501,189.0,0.0290724503922473,DE,172.28,False,Other
10005,31,15,7,16,10.612903225806452,0.0,83,0.00018296187747502822,-1.613632944991331e-19,207.38709677419354,3,DE,48.4,51.6,22.6,"Sussex County, DE",2301,48.0,0.0208604954367666,DE,134.72,False,Other
11001,297,18,2,279,0.26262626262626265,0.0,17,3.2313350621555334e-07,2.4159351083055314e-20,3.7104377104377106,7,DC,6.1,93.9,0.7,"District of Columbia, DC",9858,71.0,0.0072022722661797,DC,301.28,False,Other
