revenue_source,amount
Allocations from Other Sources,36758967
Interest,36700000
Community Development Trust Fund,36119913
Convention Center Revenue Fund,35909702
Stormwater Pollution Abatement Fund,35901568
Planning Case Processing Revenue Fund,35700000
Local Public Safety Fund,35500000
Community Development Trust Fund,35456611
Measure R Traffic Relief and Rail Expansion Fund,35384288
Transfer from Reserve Fund,35182244
Special Parking Revenue Transfer,35142475
Special Gas Tax Fund,35088834
Special Parking Revenue Fund,35077627
Stormwater Pollution Abatement Fund,34996528
Planning Case Processing Revenue Fund,34995854
Code Enforcement Trust Fund,34885839
Interest,34613000
Community Development Trust Fund,34222682
Convention Center Revenue Fund,34183381
Code Enforcement Trust Fund,33092200
Local Public Safety Fund,33000000
Local Public Safety Fund,32850000
Stormwater Pollution Abatement Fund,32778392
Code Enforcement Trust Fund,32745806
Special Parking Revenue Transfer,32577000
Citywide Recycling Fund,32342427
Code Enforcement Trust Fund,32340675
Interest,32137000
Special Parking Revenue Transfer,32115566
Planning Case Processing Revenue Fund,31773451
Solid Waste Resources Revenue Fund,31723580
L.A. Convention and Visitors Bureau Fund,31014466
Stormwater Pollution Abatement Fund,30915831
Telecommunications Development Account,30857120
Special Parking Revenue Transfer,30635342
Citywide Recycling Fund,30543759
Convention Center Revenue Fund,30481784
Stormwater Pollution Abatement Fund,30429000
Code Enforcement Trust Fund,30346377
Citywide Recycling Fund,30293657
Zoo Enterprise Fund,30290876
Stormwater Pollution Abatement Fund,30242663
Building and Safety Enterprise Fund,30203107
Stormwater Pollution Abatement Fund,30006000
Code Enforcement Trust Fund,29594866
Stormwater Pollution Abatement Fund,29474964
Special Parking Revenue Fund,29398020
Convention Center Revenue Fund,29187723
L.A. Convention and Visitors Bureau Fund,29008895
Local Public Safety Fund,29000000
Citywide Recycling Fund,28993357
Citywide Recycling Fund,28133010
Special Parking Revenue Transfer,28062866
Arts and Cultural Facilities and Services Fund,28051846
Zoo Enterprise Trust Fund,27814751
Convention Center Revenue Fund,27794692
Special Parking Revenue Transfer,27720568
Rent Stabilization Trust Fund,27672283
Convention Center Revenue Fund,27656632
Community Development Trust Fund,27363366
Convention Center Revenue Fund,27201620
Arts and Cultural Facilities and Services Fund,27018326
Community Development Trust Fund,26878437
Citywide Recycling Fund,26752891
Disaster Assistance Trust Fund,26568155
Rent Stabilization Trust Fund,26512698
Citywide Recycling Fund,26144764
Rent Stabilization Trust Fund,25922356
Convention Center Revenue Fund,25600000
Citywide Recycling Fund,25350000
Planning Case Processing Revenue Fund,24912139
Citywide Recycling Fund,24701996
Disaster Assistance Trust Fund,24631058
Community Development Trust Fund,24533183
Convention Center Revenue Fund,24500000
Sidewalk Repair Fund,24289959
Building and Safety Enterprise Fund,24253094
Convention Center Revenue Fund,24083248
Proposition A Local Transit Assistance Fund,24048805
Convention Center Revenue Fund,24000000
Interest,23957000
Citywide Recycling Fund,23802316
Telecommunications Development Account,23758767
Citywide Recycling Fund,23749166
Telecommunications Development Account,23428135
Sidewalk Repair Fund,23306000
Special Parking Revenue Fund,23289753
Rent Stabilization Trust Fund,23072000
Zoo Enterprise Fund,22956602
Special Parking Revenue Fund,22874000
Measure R Traffic Relief and Rail Expansion Fund,22790270
Arts and Cultural Facilities and Services Fund,22757572
Special Gas Tax Fund,22572099
Community Development Trust Fund,22495657
Code Enforcement Trust Fund,22428994
Telecommunications Development Account,22232289
Interest,22080000
Arts and Cultural Facilities and Services Fund,22024406
Community Development Trust Fund,21910312
Telecommunications Development Account,21895235
Citywide Recycling Fund,21772595
L. A.  Convention and Visitors Bureau Fund,21700000
Special Police Comm./911 System Tax Fund,21609356
Citywide Recycling Fund,21606335
Community Development Trust Fund,21529909
Citywide Recycling Fund,21506000
Citywide Recycling Fund,21506000
Disaster Assistance Trust Fund,21475000
Zoo Enterprise Fund,21279709
Measure R Traffic Relief and Rail Expansion Fund,21240694
Special Police Comm./911 System Tax Fund,21239435
Central Recycling and Transfer Fund,21197386
Community Development Trust Fund,20535490
Zoo Enterprise Fund,20526113
Community Development Trust Fund,20444312
Disaster Assistance Trust Fund,20234837
Disaster Assistance Trust Fund,20173281
Arts and Cultural Facilities and Services Fund,20077260
Planning Case Processing Revenue Fund,19920398
Special Police Comm./911 System Tax Fund,19882223
Telecommunications Development Account,19832472
Zoo Enterprise Fund,19771545
Grants Receipts,19762428
Telecommunications Development Account,19704181
Community Development Trust Fund,19407771
Zoo Enterprise Fund,19324665
Workforce Investment Act,19286955
Workforce Investment Act,19046097
Interest,18900000
L. A.  Convention and Visitors Bureau Fund,18835385
Cannabis Regulation Special Revenue Trust Fund,18787582
Workforce Investment Act,18779430
Measure R Traffic Relief and Rail Expansion Fund,18711272
L. A.  Convention and Visitors Bureau Fund,18523077
Telecommunications Development Account,18470000
Telecommunications Development Account,18400000
Telecommunications Development Account,18339000
Solid Waste Resources Revenue Fund,18296346
Zoo Enterprise Fund,18283477
Adopted Budget General Fund Revisions,18114764
Zoo Enterprise Fund,17861512
Zoo Enterprise Fund,17827862
Workforce Investment Act,17638307
Interest,17600000
Telecommunications Development Account,17512810
Zoo Enterprise Fund,17405046
Prop. C Anti-Gridlock Transit Improvement Fund,17383438
Arts and Cultural Facilities and Services Fund,17372880
Disaster Assistance Trust Fund,17300000
Workforce Innovation Opportunity Act Fund,17252375
Central Recycling and Transfer Fund,17198011
Workforce Innovation Opportunity Act Fund,17192925
Special Parking Revenue Fund,17175191
Cannabis Regulation Special Revenue Trust Fund,17165000
Disaster Assistance Trust Fund,17043638
Workforce Innovation Opportunity Act Fund,16972269
Workforce Investment Act,16822900
Workforce Investment Act,16780876
Workforce Innovation Opportunity Act Fund,16663434
L. A.  Convention and Visitors Bureau Fund,16615000
Measure R Traffic Relief and Rail Expansion Fund,16572000
Special Parking Revenue Transfer,16509000
Planning Case Processing Revenue Fund,16304500
Accessible Housing Fund,16134422
Sidewalk Repair Fund,16106516
Planning Case Processing Revenue Fund,16072000
Grants Receipts,16000000
Special Parking Revenue Fund,15970673
Zoo Enterprise Fund,15845101
Fines--State Vehicle Code,15744000
Grants Receipts,15729000
Accessible Housing Fund,15675955
Planning Case Processing Revenue Fund,15400000
Arts and Cultural Facilities and Services Fund,15273725
Multi-Family Bulky Item Fund,15121144
Accessible Housing Fund,15113289
Multi-Family Bulky Item Fund,15091083
Special Parking Revenue Fund,15055074
L. A.  Convention and Visitors Bureau Fund,14931000
Street Lighting Maintenance Asmt. Fund,14800335
Supplemental Law Enforcement Services Fund,14782405
Rent Stabilization Trust Fund,14723950
State Motor Vehicle License Fees,14700000
Sidewalk Repair Fund,14675775
Interest,14621000
Rent Stabilization Trust Fund,14571450
Rent Stabilization Trust Fund,14429625
Planning Case Processing Revenue Fund,14404112
Rent Stabilization Trust Fund,14400000
Rent Stabilization Trust Fund,14340737
Interest,14280000
Workforce Investment Act,14118017
Disaster Assistance Trust Fund,14088951
Telecommunications Development Account,14068478
Planning Case Processing Revenue Fund,14062000
Planning Case Processing Revenue Fund,13977203
Street Lighting Maintenance Asmt. Fund,13946481
Supplemental Law Enforcement Services,13778229
Sidewalk Repair Fund,13749370
Measure R Traffic Relief and Rail Expansion Fund,13655007
Arts and Cultural Facilities and Services Fund,13623741
Code Enforcement Trust Fund,13517019
Interest,13491000
Housing Department Affordable Housing Trust Fund,13455147
L. A.  Convention and Visitors Bureau Fund,13417000
Prop. C Anti-Gridlock Transit Improvement Fund,13368497
Fines--State Vehicle Code,13200000
Street Lighting Maintenance Asmt. Fund,13172247
Fines--State Vehicle Code,13120939
Special Gas Tax Fund,12995798
Telecommunications Development Account,12673944
Grants Receipts,12520619
Measure M Local Return Fund,12441856
Franchise Income,12400000
Arts and Cultural Facilities and Services Fund,12267264
Tobacco Settlement,12166000
L. A.  Convention and Visitors Bureau Fund,12139000
Grants Receipts,12042000
Grants Receipts,12003184
State Motor Vehicle License Fees,12000000
State Motor Vehicle License Fees,12000000
Multi-Family Bulky Item Fund,11983486
Disaster Assistance Trust Fund,11929526
Telecommunications Development Account,11859422
Code Enforcement Trust Fund,11733965
Local Transportation Fund,11492084
Prop. C Anti-Gridlock Transit Improvement Fund,11453736
Rent Stabilization Trust Fund,11317030
Tobacco Settlement,11300000
Housing Department Affordable Housing Trust Fund,11162180
Rent Stabilization Trust Fund,11054510
Fines--State Vehicle Code,11000000
Tobacco Settlement,10952000
Tobacco Settlement,10952000
Staples Arena Special Fund,10873203
Rent Stabilization Trust Fund,10826548
Workforce Investment Act,10719011
Staples Arena Special Fund,10677908
Supplemental Law Enforcement Services Fund,10665170
Prop. C Anti-Gridlock Transit Improvement Fund,10629539
Tobacco Settlement,10615000
Forfeited Assets Trust Fund,10597113
Arts and Cultural Facilities and Services Fund,10592219
Street Damage Restoration Fee Fund,10584956
Interest,10510000
Code Enforcement Trust Fund,10487637
L. A.  Convention and Visitors Bureau Fund,10477000
Rent Stabilization Trust Fund,10414600
Central Recycling and Transfer Fund,10298463
Grants Receipts,10240000
Housing Department Affordable Housing Trust Fund,10185000
Arts and Cultural Facilities and Services Fund,10183345
Street Damage Restoration Fee Fund,10069000
Grants Receipts,10050000
Special Parking Revenue Fund,10044679
L. A.  Convention and Visitors Bureau Fund,10015000
Prop. C Anti-Gridlock Transit Improvement Fund,10006117
Special Parking Revenue Transfer,10000000
Central Recycling and Transfer Fund,9917721
Grants Receipts,9820000
Staples Arena Special Fund,9743344
Rent Stabilization Trust Fund,9720690
Planning Case Processing Revenue Fund,9711055
Rent Stabilization Trust Fund,9599114
Arts and Cultural Facilities and Services Fund,9585000
Tobacco Settlement,9500000
Housing Department Affordable Housing Trust Fund,9500000
L. A.  Convention and Visitors Bureau Fund,9438461
Building and Safety Enterprise Fund,9312754
Mobile Source Air Pollution Reduction Fund,9271670
Grants Receipts,9200000
Transfer from Reserve Fund,9107662
Tobacco Settlement,9106000
Tobacco Settlement,9106000
Tobacco Settlement,9106000
Tobacco Settlement,9084000
Household Hazardous Waste Special Fund,9011422
Tobacco Settlement,9006000
Transfer from Reserve Fund,8939164
Telecommunications Development Account,8930680
Telecommunications Development Account,8820642
Tobacco Settlement,8700000
Convention Center Revenue Fund,8622230
Allocations from Other Sources,8566013
Building and Safety Enterprise Fund,8529123
Grants Receipts,8500000
Disaster Assistance Trust Fund,8472862
Supplemental Law Enforcement Services,8442724
Housing Department Affordable Housing Trust Fund,8363923
Street Damage Restoration Fee Fund,8310000
Fines--State Vehicle Code,8263551
Rent Stabilization Trust Fund,8236104
Household Hazardous Waste Special Fund,8179050
Staples Arena Special Fund,8114047
Multi-Family Bulky Item Fund,8040299
Transfer from Budget Stabilization Fund,8029121
Staples Arena Special Fund,8015204
Street Damage Restoration Fee Fund,8014000
Municipal Housing Finance Fund,8005052
Rent Stabilization Trust Fund,7814005
Disaster Assistance Trust Fund,7787952
Local Transportation Fund,7759000
Street Damage Restoration Fee Fund,7693000
Transfer from Telecommunications Dev. Account,7650000
Planning Case Processing Revenue Fund,7646949
Street Lighting Maintenance Asmt. Fund,7608396
Central Recycling and Transfer Fund,7583454
Disaster Assistance Trust Fund,7509405
Neighborhood Empowerment Fund,7465540
Street Lighting Maintenance Asmt. Fund,7444747
Multi-Family Bulky Item Fund,7428855
Multi-Family Bulky Item Fund,7380000
Street Damage Restoration Fee Fund,7373000
Multi-Family Bulky Item Fund,7329367
Fines--State Vehicle Code,7260000
Multi-Family Bulky Item Fund,7252385
HOME Investment Partnerships Program Fund,7169399
Municipal Housing Finance Fund,7031000
Disaster Assistance Trust Fund,7024447
Multi-Family Bulky Item Fund,7020757
Multi-Family Bulky Item Fund,7017649
Rent Stabilization Trust Fund,7016933
Disaster Assistance Trust Fund,7014266
Street Lighting Maintenance Asmt. Fund,7010039
Fines--State Vehicle Code,7000000
Mobile Source Air Pollution Reduction Fund,6966628
Supplemental Law Enforcement Services Fund,6961930
Street Lighting Maintenance Asmt. Fund,6918799
HOME Investment Partnerships Program Fund,6824159
Forfeited Assets Trust Fund,6785366
Measure R Traffic Relief and Rail Expansion Fund,6723854
HOME Investment Partnerships Program Fund,6642148
Municipal Housing Finance Fund,6586015
Multi-Family Bulky Item Fund,6580000
Sidewalk Repair Fund,6576165
Rent Stabilization Trust Fund,6549787
Multi-Family Bulky Item Fund,6521339
