2026 Disenrollment Reasons View: Medicare Report Card Master Table,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Problems Getting the Plan to Provide and Pay for Needed Care,Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
H1302 ,Blue Cross of Idaho ,"BLUE CROSS OF IDAHO HEALTH SERVICE, INC. ","Gemstone Holdings, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1304 ,Regence BlueShield of Idaho ,"REGENCE BLUESHIELD OF IDAHO, INC. ","Cambia Health Solutions, Inc. ",Not Available ,6%,Not Available ,Not Available ,9%
H1339 ,Johns Hopkins Advantage MD ,"JOHNS HOPKINS HEALTH PLAN OF VIRGINIA, INC. ",Johns Hopkins Healthcare LLC ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1347 ,Patrius Health ,"PATRIUS HEALTH, INC. ",BlueCross BlueShield of Alabama ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1350 ,Blue Cross of Idaho ,"BLUE CROSS OF IDAHO HEALTH SERVICE, INC. ","Gemstone Holdings, Inc. ",7%,13%,29%,7%,6%
H1360 ,UnitedHealthcare ,"UnitedHealthcare Benefits of Texas, Inc. ","UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1365 ,Martin's Point Generations Advantage ,"MARTIN'S POINT GENERATIONS ADVANTAGE, INC. ","Martin's Point Health Care, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1372 ,AgeRight Advantage ,"MARQUIS ADVANTAGE, INC. ","Marquis Companies I, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1395 ,Wellcare ,"NEBRASKA TOTAL CARE, INC. ",Centene Corporation ,Not Available ,29%,22%,Not Available ,11%
H1396 ,Humana ,"HUMANA BENEFIT PLAN OF SOUTH CAROLINA, INC. ",Humana Inc. ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1416 ,Wellcare ,"HARMONY HEALTH PLAN,  INC. ",Centene Corporation ,Not Available ,33%,14%,Not Available ,Not Available
H1423 ,Wellpoint ,"WELLPOINT HEALTH PLANS, INC. ","Elevance Health, Inc. ",34%,35%,17%,Not Available ,22%
H1468 ,Humana ,"HUMANA BENEFIT PLAN OF ILLINOIS, INC. ",Humana Inc. ,20%,32%,14%,Not Available ,9%
H1486 ,"Commonwealth Care Alliance, Inc. ","COMMONWEALTH CARE ALLIANCE, INC. ",CareSource ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1526 ,Gold Kidney Health Plan ,GOLD KIDNEY OF FLORIDA INC ,Gold Kidney Health Plan ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1537 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE COMPANY ,"UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1587 ,Tribute Health Plans ,"ARKANSAS SUPERIOR SELECT, INC. ","Select Founders, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1607 ,Anthem Blue Cross and Blue Shield ,"ANTHEM INSURANCE COMPANIES, INC. ","Elevance Health, Inc. ",11%,6%,32%,7%,8%
H1608 ,Aetna Medicare ,COVENTRY HEALTH AND LIFE INSURANCE COMPANY ,CVS Health Corporation ,11%,18%,18%,Not Available ,9%
H1609 ,Aetna Medicare ,AETNA HEALTH INC. (FL) ,CVS Health Corporation ,20%,37%,15%,Not Available ,14%
H1610 ,Aetna Better Health of Virginia ,"COVENTRY HEALTH CARE OF VIRGINIA, INC. ",CVS Health Corporation ,Not Available ,28%,8%,Not Available ,17%
