HEDIS Reporting Year,Reporting Unit,AQFS
2021,Partnership - Southeast,56.32%
2021,Partnership - Southwest,61.05%
2021,SCFHP - Santa Clara,68.42%
2021,SFHP - San Francisco,73.75%
2021,United - San Diego,51.88%
2022,AAH - Alameda,74.67%
2022,Aetna - Sacramento,38.00%
2022,Aetna - San Diego,44.67%
2022,Anthem - Alameda,63.33%
2022,Anthem - Contra Costa,53.33%
2022,Anthem - Fresno,49.33%
2022,Anthem - Kings,64.67%
2022,Anthem - Madera,73.33%
2022,Anthem - Region 1,54.00%
2022,Anthem - Region 2,51.33%
2022,Anthem - Sacramento,60.00%
2022,Anthem - San Benito,58.00%
2022,Anthem - San Francisco,54.00%
2022,Anthem - Santa Clara,59.33%
2022,Anthem - Tulare,71.33%
2022,Blue Shield - San Diego,61.33%
2022,CalOptima - Orange,82.67%
2022,CalViva - Fresno,58.67%
2022,CalViva - Kings,70.67%
2022,CalViva - Madera,80.67%
2022,CCAH - Merced,52.67%
2022,CCAH - Monterey/Santa Cruz,80.67%
2022,CCHP - Contra Costa,82.00%
2022,CenCal - San Luis Obispo,82.67%
2022,CenCal - Santa Barbara,79.33%
2022,CH&W - Imperial,60.67%
2022,CH&W - Region 1,52.00%
2022,CH&W - Region 2,45.33%
2022,CHG - San Diego,73.33%
2022,GCHP - Ventura,60.00%
2022,Health Net - Kern,42.00%
2022,Health Net - Los Angeles,57.33%
2022,Health Net - Sacramento,57.33%
2022,Health Net - San Diego,57.33%
2022,Health Net - San Joaquin,36.00%
2022,Health Net - Stanislaus,30.00%
2022,Health Net - Tulare,72.00%
2022,HPSJ - San Joaquin,56.67%
2022,HPSJ - Stanislaus,44.67%
2022,HPSM - San Mateo,76.67%
2022,IEHP - Riverside/San Bernardino,58.00%
2022,Kaiser - KP North,85.33%
2022,Kaiser - San Diego,90.00%
2022,Kern - Kern,45.33%
2022,LA Care - Los Angeles,67.33%
2022,Molina - Imperial,46.00%
2022,Molina - Riverside/San Bernardino,38.00%
2022,Molina - Sacramento,47.33%
2022,Molina - San Diego,65.33%
2022,Partnership - Northeast,40.67%
2022,Partnership - Northwest,40.67%
2022,Partnership - Southeast,64.67%
2022,Partnership - Southwest,66.00%
2022,SCFHP - Santa Clara,74.67%
2022,SFHP - San Francisco,82.00%
2022,United - San Diego,52.67%
2023,AAH - Alameda,68.67%
2023,Aetna - Sacramento,32.00%
2023,Aetna - San Diego,35.33%
2023,Anthem - Alameda,55.33%
2023,Anthem - Contra Costa,50.67%
2023,Anthem - Fresno,44.67%
2023,Anthem - Kings,58.00%
2023,Anthem - Madera,64.67%
2023,Anthem - Region 1,55.33%
