Month,County,Plan Type,Plan Category,Plan,Plan Name Raw,Enrollees,Suppressed
2023-02-01,Butte,Regional Model,Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/Butte,29057.0,False
2023-02-01,Butte,Regional Model,Medical,California Health & Wellness,California Health & Wellness/Butte,52499.0,False
2023-02-01,Calaveras,Regional Model,Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/Calaveras,7122.0,False
2023-02-01,Calaveras,Regional Model,Medical,California Health & Wellness,California Health & Wellness/Calaveras,6204.0,False
2023-02-01,Colusa,Regional Model,Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/Colusa,5978.0,False
2023-02-01,Colusa,Regional Model,Medical,California Health & Wellness,California Health & Wellness/Colusa,4627.0,False
2023-02-01,Contra Costa,Commercial Plan (2 Plan),Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/CC,41094.0,False
2023-02-01,Contra Costa,Local Initiative (2 Plan),Medical,Contra Costa Hlth Plan,Contra Costa Hlth Plan,259388.0,False
2023-02-01,Contra Costa,Special Project,Medical,Center for Elders Independence,Center for Elders Independence,258.0,False
2023-02-01,Del Norte,County Organized Health Systems,Medical,Partnership HealthPlan of California,Partnership HealthPlan of CA/Del Norte,12865.0,False
2023-02-01,El Dorado,Regional Model,Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/El Dorado,15885.0,False
2023-02-01,El Dorado,Regional Model,Medical,California Health & Wellness,California Health & Wellness/El Dorado,21323.0,False
2023-02-01,El Dorado,Regional Model,Medical,Kaiser,Kaiser/El Dorado,3244.0,False
2023-02-01,Fresno,Commercial Plan (2 Plan),Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/Fresno,157471.0,False
2023-02-01,Fresno,Local Initiative (2 Plan),Medical,CalViva Health Fresno,CalViva Health Fresno,349895.0,False
2023-02-01,Fresno,PACE,PACE,"Innovative Intergrated Health, Inc","Innovative Intergrated Health, Inc/Fresno",1139.0,False
2023-02-01,Fresno,PACE,PACE,Sequioa PACE Fresno,Sequioa PACE Fresno,514.0,False
2023-02-01,Glenn,Regional Model,Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/Glenn,3485.0,False
2023-02-01,Glenn,Regional Model,Medical,California Health & Wellness,California Health & Wellness/Glenn,10024.0,False
2023-02-01,Humboldt,County Organized Health Systems,Medical,Partnership HealthPlan of California,Partnership HealthPlan of CA/Humboldt,61859.0,False
2023-02-01,Humboldt,PACE,PACE,"Humboldt Senior Resource Center, Inc.","Humboldt Senior Resource Center, Inc./Humboldt",255.0,False
2023-02-01,Imperial,Imperial Model,Medical,California Health and Wellness Plan,California Health and Wellness Plan/Imperial,81347.0,False
2023-02-01,Imperial,Imperial Model,Medical,Molina Healthcare of California,Molina Healthcare of California/Imperial,21494.0,False
2023-02-01,Inyo,Regional Model,Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/Inyo,3377.0,False
2023-02-01,Inyo,Regional Model,Medical,California Health & Wellness,California Health & Wellness/Inyo,2356.0,False
2023-02-01,Kern,Commercial Plan (2 Plan),Medical,Heath Net,Heath Net/Kern,95442.0,False
2023-02-01,Kern,Local Initiative (2 Plan),Medical,Kern Hlth Systems,Kern Hlth Systems,364808.0,False
2023-02-01,Kern,PACE,PACE,"IIH, Inc dba Bakersfield PACE","IIH, Inc dba Bakersfield PACE/Kern",423.0,False
2023-02-01,Kings,Commercial Plan (2 Plan),Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/Kings,25709.0,False
2023-02-01,Kings,Local Initiative (2 Plan),Medical,CalViva Health Kings,CalViva Health Kings,38624.0,False
2023-02-01,Kings,PACE,PACE,Sequioa PACE Kings,Sequioa PACE Kings,,True
2023-02-01,Lake,County Organized Health Systems,Medical,Partnership HealthPlan of California,Partnership HealthPlan of CA/Lake,35554.0,False
2023-02-01,Lassen,County Organized Health Systems,Medical,Partnership HealthPlan of California,Partnership HealthPlan of CA/Lassen,9063.0,False
2023-02-01,Los Angeles,Commercial Plan (2 Plan),Medical,Health Net Community Solutions,Health Net / LA,1166177.0,False
2023-02-01,Los Angeles,Dental,Dental,Access Dental Plan,Access Dental Plan/LA,138429.0,False
2023-02-01,Los Angeles,Dental,Dental,Health Net of California,Health Net of California,229671.0,False
2023-02-01,Los Angeles,Dental,Dental,Liberty Dental Plan of CA (LA),Liberty Dental Plan of CA (LA),89020.0,False
2023-02-01,Los Angeles,Local Initiative (2 Plan),Medical,L.A. Care Health Plan,LA CARE,2699793.0,False
2023-02-01,Los Angeles,PACE,PACE,ConcertoHealth PACE of Los Angeles,ConcertoHealth PACE of Los Angeles,11.0,False
2023-02-01,Los Angeles,PACE,PACE,LA Coast PACE,LA Coast PACE,378.0,False
2023-02-01,Los Angeles,PACE,PACE,Pacific PACE,Pacific PACE,394.0,False
2023-02-01,Los Angeles,Primary Care Case Management,Medical,AIDS Healthcare Foundation,AIDS HlthCare Found/ LA,817.0,False
2023-02-01,Los Angeles,SCAN,Medical,SCAN Health Plan,SCAN (Nurs hm cert) / LA + SCAN Hlth Plan / LA,13414.0,False
2023-02-01,Los Angeles,Special Project,Medical,AltaMed Health Sr. Buena Care,AltaMed Hlth Sr. Buena Care/LA,3978.0,False
2023-02-01,Los Angeles,Special Project,Medical,Brandman Ctrs for Senior Care,Brandman Ctrs for Senior Care,322.0,False
2023-02-01,Madera,Commercial Plan (2 Plan),Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/Madera,30616.0,False
2023-02-01,Madera,Local Initiative (2 Plan),Medical,CalViva Health Madera,CalViva Health Madera,47153.0,False
2023-02-01,Madera,PACE,PACE,Sequioa PACE Madera,Sequioa PACE Madera,18.0,False
2023-02-01,Marin,County Organized Health Systems,Medical,Partnership HealthPlan of California,Partnership HealthPlan of CA/Marin,51194.0,False
2023-02-01,Mariposa,Regional Model,Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/Mariposa,4578.0,False
2023-02-01,Mariposa,Regional Model,Medical,California Health & Wellness,California Health & Wellness/Mariposa,1249.0,False
