2024 Data View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,HD5: Health Plan Customer Service,,,DD1: Drug Plan Customer Service,DD2: Member Complaints and Changes in the Drug Plan’s Performance,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,
H0363 ,Local CCP ,"LONGEVITY HEALTH PLAN OF COLORADO, INC. ",Longevity Health Plan ,"Longevity Health Founders, LLC ",Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,98%,100%,100%,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,CMS identified issues with this plan's data ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,77%,81%,Not enough data available ,Not enough data available ,Not enough data available ,Plan too small to be measured ,Plan too small to be measured ,99,85%,92%,92%,99%,97%
H0422 ,Local CCP ,"UCARE HEALTH, INC. ",UCare ,UCare Minnesota ,84%,79%,80%,56%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Not enough data available ,71%,72%,79%,Not enough data available ,Not enough data available ,47%,No data available ,Not enough data available ,No data available ,No data available ,78,72,90,85,85,86,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,98%,98%,Not enough data available ,Not enough data available ,Medicare shows only a Star Rating for this topic ,80,89,100,90%,89%,88%,Not enough data available ,89%
H0423 ,Local CCP ,"METROPLUS HEALTH PLAN, INC. ",MetroPlus Health Plan ,New York City Health and Hospitals Corporation ,79%,69%,63%,58%,75%,94%,91%,Not enough data available ,82%,84%,81%,71%,Not enough data available ,67%,11%,86%,57%,47%,79,74,89,83,86,84,0.2,17%,Medicare shows only a Star Rating for this topic ,94%,94%,89%,95%,0.2,17%,Medicare shows only a Star Rating for this topic ,85,88,98,90%,90%,89%,91%,91%
H0432 ,Local CCP ,"UNITEDHEALTHCARE OF THE MIDLANDS, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",73%,76%,64%,43%,79%,96%,95%,39%,77%,83%,68%,56%,38%,59%,10%,84%,40%,49%,85,77,92,88,90,86,0.13,22%,Medicare shows only a Star Rating for this topic ,99%,98%,98%,98%,0.13,22%,Medicare shows only a Star Rating for this topic ,90,92,99,83%,86%,85%,80%,83%
H0439 ,Local CCP ,"CIGNA HEALTHCARE OF GEORGIA, INC. ",Cigna Healthcare ,The Cigna Group ,72%,78%,66%,51%,69%,94%,97%,47%,80%,83%,67%,55%,42%,89%,10%,83%,59%,56%,83,78,91,86,88,89,0.17,20%,Medicare shows only a Star Rating for this topic ,99%,96%,95%,93%,0.17,20%,Medicare shows only a Star Rating for this topic ,87,89,99,83%,86%,86%,87%,83%
H0473 ,Local CCP ,HUMANA INSURANCE COMPANY OF KENTUCKY ,Humana ,Humana Inc. ,69%,73%,67%,48%,79%,96%,97%,35%,75%,81%,71%,49%,39%,75%,11%,83%,58%,58%,82,78,91,89,88,86,0.2,25%,Medicare shows only a Star Rating for this topic ,98%,98%,97%,100%,0.2,25%,Medicare shows only a Star Rating for this topic ,88,89,88,83%,87%,86%,82%,83%
H0480 ,Demo ,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC. ",MeridianComplete (Medicare-Medicaid Plan) ,Centene Corporation ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available
H0482 ,Local CCP ,CENTENE VENTURE COMPANY MICHIGAN ,Wellcare by Allwell ,Centene Corporation ,58%,48%,68%,44%,87%,94%,59%,Not enough data available ,52%,69%,59%,Not enough data available ,Not enough data available ,41%,No data available ,79%,31%,45%,80,78,89,86,83,87,1.03,41%,Not enough data available ,Not enough data available ,Not enough data available ,98%,100%,1.03,41%,Medicare shows only a Star Rating for this topic ,86,90,98,82%,85%,86%,86%,87%
H0504 ,Local CCP ,CALIFORNIA PHYSICIANS' SERVICE ,Blue Shield of California ,California Physicians' Service ,80%,73%,78%,57%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,62%,74%,85%,76%,51%,45%,79%,12%,86%,46%,63%,78,73,88,85,86,83,0.1,14%,Medicare shows only a Star Rating for this topic ,100%,98%,100%,100%,0.1,14%,Medicare shows only a Star Rating for this topic ,87,89,98,86%,89%,88%,87%,88%
H0523 ,Local CCP ,AETNA HEALTH OF CALIFORNIA INC. ,Aetna Medicare ,CVS Health Corporation ,70%,75%,71%,50%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Not enough data available ,76%,97%,78%,59%,41%,73%,No data available ,82%,41%,48%,77,75,87,83,83,80,0.28,24%,Medicare shows only a Star Rating for this topic ,91%,Not enough data available ,98%,98%,0.28,24%,Medicare shows only a Star Rating for this topic ,86,89,98,89%,88%,88%,81%,88%
