2024 Disenrollment Reasons View: Medicare Report Card Master Table,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Problems Getting the Plan to Provide and Pay for Needed Care,Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
H1372 ,AgeRight Advantage ,"MARQUIS ADVANTAGE, INC. ","Marquis Companies I, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1395 ,Wellcare ,"NEBRASKA TOTAL CARE, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1416 ,Wellcare ,"HARMONY HEALTH PLAN,  INC. ",Centene Corporation ,16%,27%,16%,Not Available ,15%
H1423 ,Amerigroup ,"AMERIGROUP OHIO, INC. ","Elevance Health, Inc. ",17%,32%,19%,13%,17%
H1426 ,CCA Health California ,"CCA HEALTH PLANS OF CALIFORNIA, INC. ","Commonwealth Care Alliance, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1463 ,Health Alliance Medicare ,"HEALTH ALLIANCE CONNECT, INC. ",The Carle Foundation ,Not Available ,27%,27%,8%,10%
H1468 ,Humana ,"HUMANA BENEFIT PLAN OF ILLINOIS, INC. ",Humana Inc. ,22%,30%,20%,Not Available ,14%
H1526 ,Gold Kidney Health Plan ,GOLD KIDNEY OF FLORIDA INC ,Gold Kidney Health Plan ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1537 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1587 ,Tribute Health Plans ,"ARKANSAS SUPERIOR SELECT, INC. ","Select Founders, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1607 ,Anthem Blue Cross and Blue Shield ,"ANTHEM INSURANCE COMPANIES, INC. ","Elevance Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1608 ,Aetna Medicare ,COVENTRY HEALTH AND LIFE INSURANCE COMPANY ,CVS Health Corporation ,14%,5%,23%,Not Available ,11%
H1609 ,Aetna Medicare ,AETNA HEALTH INC. (FL) ,CVS Health Corporation ,27%,26%,22%,Not Available ,14%
H1610 ,Aetna Better Health of Virginia ,"COVENTRY HEALTH CARE OF VIRGINIA, INC. ",CVS Health Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1619 ,Jefferson Health Plans Medicare ,PARTNERS INSURANCE COMPANY INC ,Thomas Jefferson University ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1644 ,Longevity Health Plan ,"LONGEVITY HEALTH PLAN OF FLORIDA, INC. ","Longevity Health Founders, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1651 ,"Medical Associates Health Plan, Inc. ","MEDICAL ASSOCIATES HEALTH PLAN, INC. ","Medical Associates Clinic, P.C. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1659 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",7%,14%,22%,8%,8%
H1664 ,Wellcare by Allwell ,"HOME STATE HEALTH PLAN, INC. ",Centene Corporation ,20%,25%,19%,11%,18%
H1666 ,"Blue Cross and Blue Shield of NM, TX ",HCSC INSURANCE SERVICES COMPANY ,Health Care Service Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1692 ,Aetna Medicare ,"COVENTRY HEALTH CARE OF WEST VIRGINIA, INC. ",CVS Health Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1722 ,Healthfirst Medicare Plan ,"HEALTHFIRST HEALTH PLAN, INC. ","Healthfirst, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1732 ,Empire BlueCross BlueShield ,"HEALTHPLUS HP, LLC ","Elevance Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1737 ,Health Alliance Medicare ,"HEALTH ALLIANCE - MIDWEST, INC. ",The Carle Foundation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1748 ,"Sonder Health Plans, Inc. ","SONDER HEALTH PLANS, INC. ","Avian Health Holdings, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1774 ,Wellcare by Allwell ,"CENTENE VENTURE COMPANY INDIANA, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1787 ,Great Plains Medicare Advantage ,SANFORD HEALTH PLAN ,Sanford Health ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1799 ,Passport Advantage ,"MOLINA HEALTHCARE OF KENTUCKY, INC. ","Molina Healthcare, Inc., ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1822 ,SCAN Desert Health Plan ,"SCAN DESERT HEALTH PLAN, INC. ",SCAN Group ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1846 ,MediGold ,MOUNT CARMEL HEALTH INSURANCE COMPANY ,Trinity Health Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1848 ,Wellcare ,"WELLCARE OF ALABAMA, INC. ",Centene Corporation ,Not Available ,42%,20%,Not Available ,Not Available
H1862 ,Wellcare ,"WELLCARE HEALTH PLANS OF VERMONT, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1889 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",20%,23%,18%,6%,10%
H1894 ,AMERIGROUP ,"AMERIGROUP WASHINGTON, INC. ","Elevance Health, Inc. ",Not Available ,24%,Not Available ,Not Available ,23%
H1914 ,Wellcare ,"WELLCARE HEALTH INSURANCE OF CONNECTICUT, INC. ",Centene Corporation ,34%,33%,19%,13%,23%
H1944 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ","UnitedHealth Group, Inc. ",15%,17%,20%,10%,12%
H1947 ,Healthy Blue ,"COMMUNITY CARE HEALTH PLAN OF LOUISIANA, INC. ","Elevance Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1951 ,Humana ,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC. ",Humana Inc. ,11%,11%,17%,Not Available ,12%
H1961 ,Peoples Health ,"PEOPLES HEALTH, INC. ","UnitedHealth Group, Inc. ",8%,16%,13%,Not Available ,11%
H1969 ,Regence BlueShield of Idaho ,"REGENCE BLUESHIELD OF IDAHO, INC. ","Cambia Health Solutions, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1993 ,Astiva Health ,"ASTIVA HEALTH, INC. ","Astiva Group, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1994 ,Select Health ,"SELECTHEALTH, INC. ","Intermountain Health Care, Inc. ",13%,16%,27%,9%,7%
H1997 ,Regence BlueShield ,REGENCE BLUESHIELD ,"Cambia Health Solutions, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2001 ,UnitedHealthcare ,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC. ","UnitedHealth Group, Inc. ",6%,3%,20%,6%,8%
H2029 ,Humana ,"HUMANA INSURANCE OF PUERTO RICO, INC. ",Humana Inc. ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2032 ,Baylor Scott & White Health Plan ,Baylor Scott & White Insurance Company ,Baylor Scott & White Holdings ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2034 ,Community Care ,"COMMUNITY CARE HEALTH PLAN, INC. ","Community Care, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2056 ,Aetna Medicare ,AETNA BETTER HEALTH OF MICHIGAN INC. ,CVS Health Corporation ,16%,21%,19%,9%,12%
H2108 ,Cigna Healthcare ,"BRAVO HEALTH MID-ATLANTIC, INC. ",The Cigna Group ,37%,42%,34%,Not Available ,20%
H2117 ,Wellcare ,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC. ",Centene Corporation ,26%,47%,13%,Not Available ,23%
H2128 ,Wellcare ,CELTIC INSURANCE COMPANY ,Centene Corporation ,27%,26%,28%,Not Available ,29%
H2134 ,Wellcare by Allwell ,"WESTERN SKY COMMUNITY CARE, INC. ",Centene Corporation ,40%,42%,25%,28%,33%
H2162 ,Wellcare ,"WELLCARE OF NEW HAMPSHIRE, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2168 ,VillageCareMAX ,VILLAGE SENIOR SERVICES CORPORATION ,"Village Care of New York, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2171 ,Care N' Care Insurance Company ,"CARE N' CARE INSURANCE COMPANY, INC. ",Texas Health Resources ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2172 ,Kaiser Permanente ,KAISER FDTN HLTH PLAN OF THE MID-ATLANTIC STATES ,"Kaiser Foundation Health Plan, Inc. ",23%,34%,25%,9%,20%
H2174 ,Wellcare by Trillium ,"TRILLIUM COMMUNITY HEALTH PLAN, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2185 ,LifeWorks Advantage ,"LIFEWORKS ADVANTAGE, LLC ","Innovative Long Term Care Management, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2224 ,Senior Whole Health ,"SENIOR WHOLE HEALTH, LLC ","Molina Healthcare, Inc., ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2225 ,Commonwealth Care Alliance Massachusetts ,"COMMONWEALTH CARE ALLIANCE, INC. ","Commonwealth Care Alliance, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2226 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE COMPANY ,"UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2230 ,Blue Cross Blue Shield of Massachusetts ,"BCBS  OF MASSACHUSETTS HMO BLUE, INC. ","Blue Cross and Blue Shield of Massachusetts, Inc. ",10%,9%,36%,Not Available ,8%
H2235 ,BayCare Health Plans ,"BAYCARE SELECT HEALTH PLANS, INC. ","BayCare Health System, Inc. ",18%,21%,22%,6%,10%
H2237 ,iCare ,INDEPENDENT CARE HEALTH PLAN ,Humana Inc. ,Not Available ,21%,18%,Not Available ,17%
H2246 ,Select Health ,"SELECTHEALTH, INC. ","Intermountain Health Care, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2247 ,UnitedHealthcare ,"UNITEDHEALTHCARE COMMUNITY PLAN, INC. ","UnitedHealth Group, Inc. ",18%,35%,11%,Not Available ,15%
H2256 ,Tufts Health Plan ,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION ,"Point32Health, Inc. ",11%,47%,20%,9%,10%
H2261 ,Blue Cross Blue Shield of Massachusetts ,"BCBS  OF MASSACHUSETTS HMO BLUE, INC. ","Blue Cross and Blue Shield of Massachusetts, Inc. ",12%,18%,30%,Not Available ,6%
H2272 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF NEW ENGLAND, INC. ","UnitedHealth Group, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2292 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2293 ,Aetna Medicare ,SILVERSCRIPT INSURANCE COMPANY ,CVS Health Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
