Rating Period,Calendar Year,Model,County,Health Plan,Brand,Category of Aid,Lower Bound,Midpoint,Upper Bound
1/22-12/22,2022,GMC,Sacramento,Aetna Better Health,Aetna Better Health,ACA Optional Expansion,283.54,293.59,304.12
1/22-12/22,2022,GMC,Sacramento,Aetna Better Health,Aetna Better Health,SPD,775.78,800.8,826.92
1/22-12/22,2022,GMC,Sacramento,Aetna Better Health,Aetna Better Health,SPD/Full-Dual,159.65,165.62,171.91
1/22-12/22,2022,GMC,Sacramento,Aetna Better Health,Aetna Better Health,Maternity,9633.29,9929.33,10236.61
1/22-12/22,2022,GMC,Sacramento,Aetna Better Health,Aetna Better Health,Behavioral Health Treatment 0-6,4592.53,4745.64,4904.85
1/22-12/22,2022,GMC,Sacramento,Aetna Better Health,Aetna Better Health,Behavioral Health Treatment 7-20,2442.66,2524.1,2608.78
1/22-12/22,2022,GMC,San Diego,Blue Shield of California,Blue Shield Promise,Child,82.99,86.93,91.12
1/22-12/22,2022,GMC,San Diego,Blue Shield of California,Blue Shield Promise,Adult,231.88,240.46,249.48
1/22-12/22,2022,GMC,San Diego,Blue Shield of California,Blue Shield Promise,ACA Optional Expansion,312.48,323.5,335.06
1/22-12/22,2022,GMC,San Diego,Blue Shield of California,Blue Shield Promise,SPD,870.84,898.65,927.67
1/22-12/22,2022,GMC,San Diego,Blue Shield of California,Blue Shield Promise,SPD/Full-Dual (Non-CCI),166.09,172.4,179.06
1/22-12/22,2022,GMC,San Diego,Blue Shield of California,Blue Shield Promise,Maternity,7742.95,7980.94,8227.97
1/22-12/22,2022,GMC,San Diego,Blue Shield of California,Blue Shield Promise,Behavioral Health Treatment 0-6,2488.14,2571.09,2657.35
1/22-12/22,2022,GMC,San Diego,Blue Shield of California,Blue Shield Promise,Behavioral Health Treatment 7-20,1956.52,2021.74,2089.57
1/22-12/22,2022,GMC,San Diego,Community Health Group,Community Health Group,Child,78.72,82.5,86.5
1/22-12/22,2022,GMC,San Diego,Community Health Group,Community Health Group,Adult,259.6,269.11,279.1
1/22-12/22,2022,GMC,San Diego,Community Health Group,Community Health Group,ACA Optional Expansion,317.22,328.4,340.12
1/22-12/22,2022,GMC,San Diego,Community Health Group,Community Health Group,SPD,834.49,861.04,888.74
1/22-12/22,2022,GMC,San Diego,Community Health Group,Community Health Group,SPD/Full-Dual (Non-CCI),162.23,168.33,174.76
1/22-12/22,2022,GMC,San Diego,Community Health Group,Community Health Group,Maternity,7742.95,7980.94,8227.97
