Rating Period,Calendar Year,Model,County,Health Plan,Brand,Category of Aid,Lower Bound,Midpoint,Upper Bound,AWOP
07/2021-12/2021,2021,PACE,Los Angeles,Pacific PACE,Pacific PACE,Full-Dual,4489.07,4774.92,5093.39,5642.46
07/2021-12/2021,2021,PACE,Los Angeles,Pacific PACE,Pacific PACE,Non-Dual,7722.24,8223.69,8782.5,8573.35
07/2021-12/2021,2021,PACE,Humboldt,Redwood Coast,Redwood Coast,Full-Dual,4976.43,5286.24,5631.36,6350.19
07/2021-12/2021,2021,PACE,Humboldt,Redwood Coast,Redwood Coast,Non-Dual,7666.41,8154.82,8699.0,10472.65
07/2021-12/2021,2021,PACE,San Diego,San Diego PACE,San Diego PACE,Full-Dual,4341.52,4616.31,4922.45,5398.44
07/2021-12/2021,2021,PACE,San Diego,San Diego PACE,San Diego PACE,Non-Dual,6458.62,6875.02,7339.02,8882.85
07/2021-12/2021,2021,PACE,Fresno,Sequoia,Sequoia,Full-Dual,4607.95,4895.65,5216.15,5340.73
07/2021-12/2021,2021,PACE,Fresno,Sequoia,Sequoia,Non-Dual,6973.96,7418.4,7913.61,8754.44
07/2021-12/2021,2021,PACE,Kings,Sequoia,Sequoia,Full-Dual,4607.95,4895.65,5216.15,5340.73
07/2021-12/2021,2021,PACE,Kings,Sequoia,Sequoia,Non-Dual,6973.96,7418.4,7913.61,8754.44
07/2021-12/2021,2021,PACE,Madera,Sequoia,Sequoia,Full-Dual,4607.95,4895.65,5216.15,5340.73
07/2021-12/2021,2021,PACE,Madera,Sequoia,Sequoia,Non-Dual,6973.96,7418.4,7913.61,8754.44
07/2021-12/2021,2021,PACE,Tulare,Sequoia,Sequoia,Full-Dual,4607.95,4895.65,5216.15,5340.73
07/2021-12/2021,2021,PACE,Tulare,Sequoia,Sequoia,Non-Dual,6973.96,7418.4,7913.61,8754.44
07/2021-12/2021,2021,PACE,San Diego,St. Paul's PACE,St. Paul's PACE,Full-Dual,3769.25,4011.84,4282.16,5398.44
07/2021-12/2021,2021,PACE,San Diego,St. Paul's PACE,St. Paul's PACE,Non-Dual,5544.3,5907.14,6311.5,8882.85
07/2021-12/2021,2021,PACE,San Joaquin,Stockton PACE,Stockton PACE,Full-Dual,5276.14,5607.37,5976.38,5766.3
07/2021-12/2021,2021,PACE,San Joaquin,Stockton PACE,Stockton PACE,Non-Dual,8083.37,8600.74,9177.21,9480.44
07/2021-12/2021,2021,PACE,Stanislaus,Stockton PACE,Stockton PACE,Full-Dual,5276.14,5607.37,5976.38,5766.3
07/2021-12/2021,2021,PACE,Stanislaus,Stockton PACE,Stockton PACE,Non-Dual,8083.37,8600.74,9177.21,9480.44
07/2021-12/2021,2021,PACE,Sacramento,Sutter Senior Care,Sutter Senior Care,Full-Dual,5199.43,5526.25,5890.34,6135.44
07/2021-12/2021,2021,PACE,Sacramento,Sutter Senior Care,Sutter Senior Care,Non-Dual,7940.49,8449.18,9015.99,9740.46
01/2022-6/2022,2022,PACE,Los Angeles,AltaMed Senior Care,AltaMed Senior Care,Full-Dual,4197.13,4397.54,4615.28,6422.25
01/2022-6/2022,2022,PACE,Los Angeles,AltaMed Senior Care,AltaMed Senior Care,Non-Dual,6339.12,6649.39,6986.54,9417.4
01/2022-6/2022,2022,PACE,Los Angeles,Brandman Centers For Senior Care,Brandman Centers For Senior Care,Full-Dual,4397.93,4612.08,4844.77,6422.25
01/2022-6/2022,2022,PACE,Los Angeles,Brandman Centers For Senior Care,Brandman Centers For Senior Care,Non-Dual,7049.46,7401.18,7783.42,9417.4
01/2022-6/2022,2022,PACE,Orange,CalOptima,CalOptima,Full-Dual,3991.62,4189.19,4403.89,5891.84
01/2022-6/2022,2022,PACE,Orange,CalOptima,CalOptima,Non-Dual,7373.11,7745.13,8149.45,10162.78
01/2022-6/2022,2022,PACE,Alameda,Center For Elders Independence (CEI),Center For Elders Independence (CEI),Full-Dual,6026.98,6330.07,6659.45,6857.71
