Rating Period,Calendar Year,Model,County,Health Plan,Brand,Category of Aid,Lower Bound,Midpoint,Upper Bound
1/21-12/21,2021,Two-Plan,Riverside,Molina Healthcare,Molina Healthcare,Child,72.32,75.21,78.27
1/21-12/21,2021,Two-Plan,Riverside,Molina Healthcare,Molina Healthcare,Health Homes Non-Dual,236.83,244.83,253.54
1/21-12/21,2021,Two-Plan,Riverside,Molina Healthcare,Molina Healthcare,Health Homes Dual,76.39,78.79,81.39
1/21-12/21,2021,Two-Plan,Riverside,Molina Healthcare,Molina Healthcare,Hep C 340B,1722.85,1722.85,1759.31
1/21-12/21,2021,Two-Plan,Riverside,Molina Healthcare,Molina Healthcare,Hep C Non-340B,2184.11,2184.11,2285.16
1/21-12/21,2021,Two-Plan,Riverside,Molina Healthcare,Molina Healthcare,Maternity,6775.06,6982.68,7198.15
1/21-12/21,2021,Two-Plan,Riverside,Molina Healthcare,Molina Healthcare,SPD,658.52,674.71,691.6
1/21-12/21,2021,Two-Plan,Riverside,Molina Healthcare,Molina Healthcare,SPD Dual,116.03,119.92,124.01
1/21-12/21,2021,Two-Plan,San Bernardino,Inland Empire Health Plan,Inland Empire Health Plan,Adult,298.83,307.27,316.12
1/21-12/21,2021,Two-Plan,San Bernardino,Inland Empire Health Plan,Inland Empire Health Plan,Adult Expansion,374.74,384.91,395.56
1/21-12/21,2021,Two-Plan,San Bernardino,Inland Empire Health Plan,Inland Empire Health Plan,Behavioral Health Treatment 0-6,2660.99,2735.81,2813.32
1/21-12/21,2021,Two-Plan,San Bernardino,Inland Empire Health Plan,Inland Empire Health Plan,Behavioral Health Treatment 7-20,1889.48,1942.6,1997.65
1/21-12/21,2021,Two-Plan,San Bernardino,Inland Empire Health Plan,Inland Empire Health Plan,Child,85.06,88.51,92.15
1/21-12/21,2021,Two-Plan,San Bernardino,Inland Empire Health Plan,Inland Empire Health Plan,Hep C 340B,1722.85,1722.85,1759.31
1/21-12/21,2021,Two-Plan,San Bernardino,Inland Empire Health Plan,Inland Empire Health Plan,Hep C Non-340B,2184.11,2184.11,2285.16
1/21-12/21,2021,Two-Plan,San Bernardino,Inland Empire Health Plan,Inland Empire Health Plan,Maternity,6853.9,7063.94,7281.92
1/21-12/21,2021,Two-Plan,San Bernardino,Inland Empire Health Plan,Inland Empire Health Plan,SPD,1007.83,1032.27,1057.77
1/21-12/21,2021,Two-Plan,San Bernardino,Inland Empire Health Plan,Inland Empire Health Plan,SPD Dual,138.06,143.04,148.27
1/21-12/21,2021,Two-Plan,San Bernardino,Inland Empire Health Plan,Inland Empire Health Plan,Health Homes Non-Dual,190.93,197.27,204.18
1/21-12/21,2021,Two-Plan,San Bernardino,Inland Empire Health Plan,Inland Empire Health Plan,Health Homes Dual,62.63,64.57,66.68
1/21-12/21,2021,Two-Plan,San Bernardino,Molina Healthcare,Molina Healthcare,Adult,195.4,201.07,207.02
1/21-12/21,2021,Two-Plan,San Bernardino,Molina Healthcare,Molina Healthcare,Adult Expansion,258.43,265.64,273.18
1/21-12/21,2021,Two-Plan,San Bernardino,Molina Healthcare,Molina Healthcare,Behavioral Health Treatment 0-6,2499.45,2569.73,2642.54
1/21-12/21,2021,Two-Plan,San Bernardino,Molina Healthcare,Molina Healthcare,Behavioral Health Treatment 7-20,1757.92,1807.35,1858.56
