Rating Period,Calendar Year,Model,County,Health Plan,Brand,Category of Aid,Lower Bound,Midpoint,Upper Bound
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,Child - SIS,166.19,,180.66
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,Adult - SIS,353.97,,379.51
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,ACA Optional Expansion - SIS,437.26,,467.48
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,SPD - SIS,1484.95,,1572.84
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,SPD/Full-Dual - SIS,727.97,,763.1
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,LTC - SIS,1484.95,,1572.84
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,LTC/Full-Dual - SIS,727.97,,763.1
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,Maternity - SIS,11331.46,,11831.27
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,Child - UIS Federally Eligible,25.84,,29.15
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,Adult - UIS Federally Eligible,138.15,,148.23
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,ACA Optional Expansion - UIS Federally Eligible,178.35,,190.86
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,SPD - UIS Federally Eligible,459.57,,489.06
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,SPD/Full-Dual - UIS Federally Eligible,106.7,,114.89
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,Contra Costa Health Plan,LTC - UIS Federally Eligible,459.57,,489.06
