Year,Plan,Region,Reporting Unit,AQFS
2021,Anthem,Region 1,Anthem - Region 1,45.26
2021,Anthem,Region 2,Anthem - Region 2,43.16
2021,Anthem,Sacramento,Anthem - Sacramento,58.95
2021,Anthem,San Benito,Anthem - San Benito,41.33
2021,Anthem,San Francisco,Anthem - San Francisco,43.13
2021,Anthem,Santa Clara,Anthem - Santa Clara,45.79
2021,Anthem,Tulare,Anthem - Tulare,63.68
2021,Blue Shield,San Diego,Blue Shield - San Diego,62.63
2021,CalOptima,Orange,CalOptima - Orange,71.05
2021,CalViva,Fresno,CalViva - Fresno,47.89
2021,CalViva,Kings,CalViva - Kings,58.13
2021,CalViva,Madera,CalViva - Madera,68.42
2021,CCAH,Merced,CCAH - Merced,56.67
2021,CCAH,Monterey/Santa Cruz,CCAH - Monterey/Santa Cruz,78.75
2021,CCHP,Contra Costa,CCHP - Contra Costa,72.63
2021,CenCal,San Luis Obispo,CenCal - San Luis Obispo,75.26
2021,CenCal,Santa Barbara,CenCal - Santa Barbara,64.21
2021,CH&W,Imperial,CH&W - Imperial,56.32
2021,CH&W,Region 1,CH&W - Region 1,46.84
2021,CH&W,Region 2,CH&W - Region 2,41.58
2021,CHG,San Diego,CHG - San Diego,70.0
2021,GCHP,Ventura,GCHP - Ventura,57.33
2021,Health Net,Kern,Health Net - Kern,34.21
2021,Health Net,Los Angeles,Health Net - Los Angeles,52.63
2021,Health Net,Sacramento,Health Net - Sacramento,56.84
2021,Health Net,San Diego,Health Net - San Diego,55.26
2021,Health Net,San Joaquin,Health Net - San Joaquin,45.63
2021,Health Net,Stanislaus,Health Net - Stanislaus,47.89
2021,Health Net,Tulare,Health Net - Tulare,67.89
2021,HPSJ,San Joaquin,HPSJ - San Joaquin,45.63
2021,HPSJ,Stanislaus,HPSJ - Stanislaus,41.88
2021,HPSM,San Mateo,HPSM - San Mateo,65.79
2021,IEHP,Riverside/San Bernardino,IEHP - Riverside/San Bernardino,63.16
2021,Kaiser,KP North,Kaiser - KP North,74.21
2021,Kaiser,San Diego,Kaiser - San Diego,89.47
2021,Kern,Kern,Kern - Kern,27.33
2021,LA Care,Los Angeles,LA Care - Los Angeles,59.47
2021,Molina,Imperial,Molina - Imperial,60.0
2021,Molina,Riverside/San Bernardino,Molina - Riverside/San Bernardino,40.0
2021,Molina,Sacramento,Molina - Sacramento,50.0
2021,Molina,San Diego,Molina - San Diego,68.0
2021,Partnership,Northeast,Partnership - Northeast,41.58
2021,Partnership,Northwest,Partnership - Northwest,43.68
2021,Partnership,Southeast,Partnership - Southeast,56.32
2021,Partnership,Southwest,Partnership - Southwest,61.05
2021,SCFHP,Santa Clara,SCFHP - Santa Clara,68.42
2021,SFHP,San Francisco,SFHP - San Francisco,73.75
2021,United,San Diego,United - San Diego,51.88
2022,AAH,Alameda,AAH - Alameda,74.67
2022,Aetna,Sacramento,Aetna - Sacramento,38.0
2022,Aetna,San Diego,Aetna - San Diego,44.67
2022,Anthem,Alameda,Anthem - Alameda,63.33
2022,Anthem,Contra Costa,Anthem - Contra Costa,53.33
2022,Anthem,Fresno,Anthem - Fresno,49.33
2022,Anthem,Kings,Anthem - Kings,64.67
2022,Anthem,Madera,Anthem - Madera,73.33
2022,Anthem,Region 1,Anthem - Region 1,54.0
2022,Anthem,Region 2,Anthem - Region 2,51.33
2022,Anthem,Sacramento,Anthem - Sacramento,60.0
2022,Anthem,San Benito,Anthem - San Benito,58.0
2022,Anthem,San Francisco,Anthem - San Francisco,54.0
2022,Anthem,Santa Clara,Anthem - Santa Clara,59.33
2022,Anthem,Tulare,Anthem - Tulare,71.33
2022,Blue Shield,San Diego,Blue Shield - San Diego,61.33
2022,CalOptima,Orange,CalOptima - Orange,82.67
2022,CalViva,Fresno,CalViva - Fresno,58.67
2022,CalViva,Kings,CalViva - Kings,70.67
2022,CalViva,Madera,CalViva - Madera,80.67
2022,CCAH,Merced,CCAH - Merced,52.67
2022,CCAH,Monterey/Santa Cruz,CCAH - Monterey/Santa Cruz,80.67
2022,CCHP,Contra Costa,CCHP - Contra Costa,82.0
2022,CenCal,San Luis Obispo,CenCal - San Luis Obispo,82.67
2022,CenCal,Santa Barbara,CenCal - Santa Barbara,79.33
2022,CH&W,Imperial,CH&W - Imperial,60.67
2022,CH&W,Region 1,CH&W - Region 1,52.0
2022,CH&W,Region 2,CH&W - Region 2,45.33
2022,CHG,San Diego,CHG - San Diego,73.33
2022,GCHP,Ventura,GCHP - Ventura,60.0
2022,Health Net,Kern,Health Net - Kern,42.0
2022,Health Net,Los Angeles,Health Net - Los Angeles,57.33
2022,Health Net,Sacramento,Health Net - Sacramento,57.33
2022,Health Net,San Diego,Health Net - San Diego,57.33
2022,Health Net,San Joaquin,Health Net - San Joaquin,36.0
2022,Health Net,Stanislaus,Health Net - Stanislaus,30.0
2022,Health Net,Tulare,Health Net - Tulare,72.0
2022,HPSJ,San Joaquin,HPSJ - San Joaquin,56.67
2022,HPSJ,Stanislaus,HPSJ - Stanislaus,44.67
2022,HPSM,San Mateo,HPSM - San Mateo,76.67
2022,IEHP,Riverside/San Bernardino,IEHP - Riverside/San Bernardino,58.0
2022,Kaiser,KP North,Kaiser - KP North,85.33
2022,Kaiser,San Diego,Kaiser - San Diego,90.0
2022,Kern,Kern,Kern - Kern,45.33
2022,LA Care,Los Angeles,LA Care - Los Angeles,67.33
2022,Molina,Imperial,Molina - Imperial,46.0
2022,Molina,Riverside/San Bernardino,Molina - Riverside/San Bernardino,38.0
2022,Molina,Sacramento,Molina - Sacramento,47.33
2022,Molina,San Diego,Molina - San Diego,65.33
2022,Partnership,Northeast,Partnership - Northeast,40.67
2022,Partnership,Northwest,Partnership - Northwest,40.67
2022,Partnership,Southeast,Partnership - Southeast,64.67
2022,Partnership,Southwest,Partnership - Southwest,66.0
2022,SCFHP,Santa Clara,SCFHP - Santa Clara,74.67
2022,SFHP,San Francisco,SFHP - San Francisco,82.0
2022,United,San Diego,United - San Diego,52.67
2023,AAH,Alameda,AAH - Alameda,68.67
2023,Aetna,Sacramento,Aetna - Sacramento,32.0
2023,Aetna,San Diego,Aetna - San Diego,35.33
2023,Anthem,Alameda,Anthem - Alameda,55.33
2023,Anthem,Contra Costa,Anthem - Contra Costa,50.67
2023,Anthem,Fresno,Anthem - Fresno,44.67
2023,Anthem,Kings,Anthem - Kings,58.0
2023,Anthem,Madera,Anthem - Madera,64.67
2023,Anthem,Region 1,Anthem - Region 1,55.33
2023,Anthem,Region 2,Anthem - Region 2,44.67
2023,Anthem,Sacramento,Anthem - Sacramento,50.67
2023,Anthem,San Benito,Anthem - San Benito,66.67
2023,Anthem,San Francisco,Anthem - San Francisco,55.33
2023,Anthem,Santa Clara,Anthem - Santa Clara,54.0
2023,Anthem,Tulare,Anthem - Tulare,73.33
2023,Blue Shield,San Diego,Blue Shield - San Diego,63.33
2023,CalOptima,Orange,CalOptima - Orange,73.33
2023,CalViva,Fresno,CalViva - Fresno,53.33
2023,CalViva,Kings,CalViva - Kings,62.67
2023,CalViva,Madera,CalViva - Madera,77.33
2023,CCAH,Merced,CCAH - Merced,51.33
2023,CCAH,Monterey/Santa Cruz,CCAH - Monterey/Santa Cruz,90.0
2023,CCHP,Contra Costa,CCHP - Contra Costa,81.33
2023,CenCal,San Luis Obispo,CenCal - San Luis Obispo,74.0
2023,CenCal,Santa Barbara,CenCal - Santa Barbara,79.33
2023,CH&W,Imperial,CH&W - Imperial,66.67
2023,CH&W,Region 1,CH&W - Region 1,56.0
2023,CH&W,Region 2,CH&W - Region 2,44.0
