Month,Measure Category,Measure Type,Population Type,Count
202306,Utilization,Prescriptions,MO-Other,"2,496,102"
202306,Eligibility,Member Months,MO-OTLIC,"1,258,169"
202306,New Enrollments,New Enrollments,MO-OTLIC,0
202306,State Fair Hearings,State Fair Hearings,MO-OTLIC,3
202306,Utilization,Emergency Room Visits,MO-OTLIC,"27,428"
202306,Utilization,Emergency Room Visits with an Inpatient Admission,MO-OTLIC,760
202306,Utilization,Inpatient Admissions,MO-OTLIC,"2,599"
202306,Utilization,Mild to Moderate Mental Health Visits,MO-OTLIC,"34,931"
202306,Utilization,Outpatient Visits,MO-OTLIC,"644,835"
202306,Utilization,Prescriptions,MO-OTLIC,"283,255"
202306,Eligibility,Member Months,MO-SPD,"695,824"
202306,New Enrollments,New Enrollments,MO-SPD,0
202306,State Fair Hearings,State Fair Hearings,MO-SPD,62
202306,Utilization,Emergency Room Visits,MO-SPD,"56,946"
202306,Utilization,Emergency Room Visits with an Inpatient Admission,MO-SPD,"9,161"
202306,Utilization,Inpatient Admissions,MO-SPD,"21,577"
202306,Utilization,Mild to Moderate Mental Health Visits,MO-SPD,"41,697"
202306,Utilization,Outpatient Visits,MO-SPD,"2,005,204"
202306,Utilization,Prescriptions,MO-SPD,"1,780,955"
202307,Eligibility,Member Months,Dual,"1,651,426"
202307,New Enrollments,New Enrollments,Dual,0
202307,State Fair Hearings,State Fair Hearings,Dual,52
202307,Utilization,Emergency Room Visits,Dual,"87,957"
202307,Utilization,Emergency Room Visits with an Inpatient Admission,Dual,"14,055"
202307,Utilization,Inpatient Admissions,Dual,"73,996"
202307,Utilization,Mild to Moderate Mental Health Visits,Dual,"56,841"
202307,Utilization,Outpatient Visits,Dual,"3,474,319"
202307,Utilization,Prescriptions,Dual,"673,504"
202307,Eligibility,Member Months,Invalid,0
202307,New Enrollments,New Enrollments,Invalid,0
202307,State Fair Hearings,State Fair Hearings,Invalid,0
202307,Utilization,Emergency Room Visits,Invalid,0
202307,Utilization,Emergency Room Visits with an Inpatient Admission,Invalid,0
202307,Utilization,Inpatient Admissions,Invalid,0
202307,Utilization,Mild to Moderate Mental Health Visits,Invalid,0
202307,Utilization,Outpatient Visits,Invalid,0
202307,Utilization,Prescriptions,Invalid,0
202307,Eligibility,Member Months,MO-ACA,"4,716,414"
202307,New Enrollments,New Enrollments,MO-ACA,0
202307,State Fair Hearings,State Fair Hearings,MO-ACA,51
202307,Utilization,Emergency Room Visits,MO-ACA,"214,194"
202307,Utilization,Emergency Room Visits with an Inpatient Admission,MO-ACA,"17,473"
202307,Utilization,Inpatient Admissions,MO-ACA,"36,319"
202307,Utilization,Mild to Moderate Mental Health Visits,MO-ACA,"230,918"
202307,Utilization,Outpatient Visits,MO-ACA,"3,654,185"
202307,Utilization,Prescriptions,MO-ACA,"3,760,330"
202307,Eligibility,Member Months,MO-Other,"5,797,823"
202307,New Enrollments,New Enrollments,MO-Other,0
202307,State Fair Hearings,State Fair Hearings,MO-Other,28
202307,Utilization,Emergency Room Visits,MO-Other,"216,863"
202307,Utilization,Emergency Room Visits with an Inpatient Admission,MO-Other,"9,672"
202307,Utilization,Inpatient Admissions,MO-Other,"31,529"
202307,Utilization,Mild to Moderate Mental Health Visits,MO-Other,"190,536"
202307,Utilization,Outpatient Visits,MO-Other,"3,705,648"
202307,Utilization,Prescriptions,MO-Other,"2,281,408"
202307,Eligibility,Member Months,MO-OTLIC,"1,253,159"
202307,New Enrollments,New Enrollments,MO-OTLIC,0
202307,State Fair Hearings,State Fair Hearings,MO-OTLIC,7
202307,Utilization,Emergency Room Visits,MO-OTLIC,"24,872"
202307,Utilization,Emergency Room Visits with an Inpatient Admission,MO-OTLIC,768
202307,Utilization,Inpatient Admissions,MO-OTLIC,"1,999"
202307,Utilization,Mild to Moderate Mental Health Visits,MO-OTLIC,"38,490"
202307,Utilization,Outpatient Visits,MO-OTLIC,"562,333"
202307,Utilization,Prescriptions,MO-OTLIC,"248,198"
202307,Eligibility,Member Months,MO-SPD,"693,075"
202307,New Enrollments,New Enrollments,MO-SPD,0
202307,State Fair Hearings,State Fair Hearings,MO-SPD,50
202307,Utilization,Emergency Room Visits,MO-SPD,"58,147"
202307,Utilization,Emergency Room Visits with an Inpatient Admission,MO-SPD,"9,076"
202307,Utilization,Inpatient Admissions,MO-SPD,"20,323"
202307,Utilization,Mild to Moderate Mental Health Visits,MO-SPD,"45,525"
202307,Utilization,Outpatient Visits,MO-SPD,"1,864,750"
202307,Utilization,Prescriptions,MO-SPD,"1,722,650"
202308,Eligibility,Member Months,Dual,"1,648,899"
202308,New Enrollments,New Enrollments,Dual,0
202308,State Fair Hearings,State Fair Hearings,Dual,50
202308,Utilization,Emergency Room Visits,Dual,"85,990"
202308,Utilization,Emergency Room Visits with an Inpatient Admission,Dual,"13,164"
202308,Utilization,Inpatient Admissions,Dual,"70,096"
202308,Utilization,Mild to Moderate Mental Health Visits,Dual,"61,033"
202308,Utilization,Outpatient Visits,Dual,"3,623,213"
202308,Utilization,Prescriptions,Dual,"730,137"
202308,Eligibility,Member Months,Invalid,0
202308,New Enrollments,New Enrollments,Invalid,0
202308,State Fair Hearings,State Fair Hearings,Invalid,0
202308,Utilization,Emergency Room Visits,Invalid,0
202308,Utilization,Emergency Room Visits with an Inpatient Admission,Invalid,0
202308,Utilization,Inpatient Admissions,Invalid,0
202308,Utilization,Mild to Moderate Mental Health Visits,Invalid,0
202308,Utilization,Outpatient Visits,Invalid,0
202308,Utilization,Prescriptions,Invalid,0
202308,Eligibility,Member Months,MO-ACA,"4,721,382"
202308,New Enrollments,New Enrollments,MO-ACA,0
202308,State Fair Hearings,State Fair Hearings,MO-ACA,50
202308,Utilization,Emergency Room Visits,MO-ACA,"211,131"
202308,Utilization,Emergency Room Visits with an Inpatient Admission,MO-ACA,"16,808"
202308,Utilization,Inpatient Admissions,MO-ACA,"35,010"
202308,Utilization,Mild to Moderate Mental Health Visits,MO-ACA,"267,072"
