PlayerID,ShortName,Team,Position,Position Title,Height_in,Weight_lbs,PhotoUrl,target
20907,N.Patrick,DEN,OLB,Outside Linebacker,75,242,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20907.png,0
19293,A.Calitro,DEN,OLB,Outside Linebacker,72,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19293.png,0
19832,B.Chubb,DEN,OLB,Outside Linebacker,76,275,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19832.png,0
13022,V.Miller,DEN,OLB,Outside Linebacker,75,250,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/13022.png,0
21366,M.Reed,DEN,OLB,Outside Linebacker,74,235,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21366.png,0
16972,A.Chickillo,DEN,OLB,Outside Linebacker,75,255,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16972.png,0
16334,J.Attaochu,DEN,OLB,Outside Linebacker,75,252,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16334.png,0
20297,D.Bellamy,DET,OLB,Outside Linebacker,77,259,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20297.png,0
19009,J.Reeves-Maybin,DET,OLB,Outside Linebacker,72,233,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19009.png,0
16434,C.Jones,DET,OLB,Outside Linebacker,75,250,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16434.png,0
21543,A.Pittman,DET,OLB,Outside Linebacker,75,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21543.png,0
16647,K.Martin,DET,OLB,Outside Linebacker,78,272,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16647.png,0
20767,R.Gary,GB,OLB,Outside Linebacker,77,277,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20767.png,0
16883,Z.Smith,GB,OLB,Outside Linebacker,76,272,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16883.png,0
21417,R.Ramsey,GB,OLB,Outside Linebacker,75,238,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21417.png,0
16133,C.Kirksey,GB,OLB,Outside Linebacker,74,233,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16133.png,0
16799,P.Smith,GB,OLB,Outside Linebacker,77,265,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16799.png,0
18956,Z.Cunningham,HOU,OLB,Outside Linebacker,75,238,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18956.png,0
20094,E.Ellerbee,HOU,OLB,Outside Linebacker,73,235,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20094.png,0
17081,T.Adams,HOU,OLB,Outside Linebacker,74,230,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/17081.png,0
19496,D.Cole,HOU,OLB,Outside Linebacker,72,237,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19496.png,0
19978,D.Ejiofor,HOU,OLB,Outside Linebacker,76,255,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19978.png,0
19999,J.Martin,HOU,OLB,Outside Linebacker,74,242,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19999.png,0
16913,K.Emanuel,HOU,OLB,Outside Linebacker,75,251,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16913.png,0
18545,B.Scarlett,HOU,OLB,Outside Linebacker,76,263,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18545.png,0
13977,W.Mercilus,HOU,OLB,Outside Linebacker,76,258,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/13977.png,0
20024,Z.Franklin,IND,OLB,Outside Linebacker,72,235,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20024.png,0
21117,E.Speed,IND,OLB,Outside Linebacker,76,230,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21117.png,0
20023,M.Adams,IND,OLB,Outside Linebacker,72,229,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20023.png,0
19852,D.Leonard,IND,OLB,Outside Linebacker,74,230,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19852.png,0
20428,S.Moore,IND,OLB,Outside Linebacker,74,225,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20428.png,0
17925,M.Jack,JAX,OLB,Outside Linebacker,73,244,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/17925.png,0
20026,L.Jacobs,JAX,OLB,Outside Linebacker,74,246,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20026.png,0
20736,D.Allen,JAX,OLB,Outside Linebacker,73,232,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20736.png,0
21109,Q.Williams,JAX,OLB,Outside Linebacker,61,225,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21109.png,0
16670,A.Lynch,JAX,OLB,Outside Linebacker,77,285,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16670.png,0
19310,N.Morrow,LV,OLB,Outside Linebacker,72,225,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19310.png,0
16769,V.Beasley Jr.,LV,OLB,Outside Linebacker,75,246,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16769.png,0
19051,U.Eligwe,LV,OLB,Outside Linebacker,74,239,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19051.png,0
14167,K.Wilber,LV,OLB,Outside Linebacker,76,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/14167.png,0
19567,J.Onwualu,LV,OLB,Outside Linebacker,73,235,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19567.png,0
19859,U.Nwosu,LAC,OLB,Outside Linebacker,74,251,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19859.png,0
19872,M.Jefferson,LAC,OLB,Outside Linebacker,74,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19872.png,0
20750,E.Egbule,LAC,OLB,Outside Linebacker,74,245,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20750.png,0
18015,N.Vigil,LAC,OLB,Outside Linebacker,74,235,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18015.png,0
19987,O.Okoronkwo,LAR,OLB,Outside Linebacker,74,253,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19987.png,0
19016,S.Ebukam,LAR,OLB,Outside Linebacker,75,245,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19016.png,0
21903,T.Lewis,LAR,OLB,Outside Linebacker,77,258,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,0
17935,L.Floyd,LAR,OLB,Outside Linebacker,77,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/17935.png,0
20808,J.Hollins,LAR,OLB,Outside Linebacker,77,248,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20808.png,0
20971,A.Van Ginkel,MIA,OLB,Outside Linebacker,76,242,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20971.png,0
20724,S.Eguavoen,MIA,OLB,Outside Linebacker,72,236,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20724.png,0
