Date,Crime_Code,Crime_Desc,Area,Weapon_Code,Weapon_Desc,Vict_Age,Vict_Sex,Vict_Desc,Status,Lat,Lng,Year
2019-10-30,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),Harbor,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",9,F,Black,Adult Other,33.7352,-118.2968,2019
2019-04-10,812,SEXUAL PENETRATION W/FOREIGN OBJECT,Rampart,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",4,F,Hispanic/Latin/Mexican,Invest Cont,34.0562,-118.2673,2019
2019-04-12,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),Hollenbeck,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",9,F,Hispanic/Latin/Mexican,Invest Cont,34.0437,-118.2098,2019
2019-06-24,812,SEXUAL PENETRATION W/FOREIGN OBJECT,Hollywood,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",8,F,Hispanic/Latin/Mexican,Invest Cont,34.0871,-118.331,2019
2019-01-03,812,SEXUAL PENETRATION W/FOREIGN OBJECT,N Hollywood,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",4,F,Hispanic/Latin/Mexican,Adult Other,34.194,-118.39,2019
2019-07-30,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),Harbor,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",11,F,Hispanic/Latin/Mexican,Adult Other,33.754,-118.3048,2019
2019-05-13,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),Mission,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",9,F,Hispanic/Latin/Mexican,Adult Other,34.2389,-118.4536,2019
2019-10-22,812,ORAL COPULATION,Hollenbeck,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",4,F,White,Invest Cont,34.0893,-118.1707,2019
2019-11-20,812,ORAL COPULATION,Southeast,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",4,F,Hispanic/Latin/Mexican,Invest Cont,33.9447,-118.2717,2019
2019-12-30,812,ORAL COPULATION,Olympic,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",5,F,Hispanic/Latin/Mexican,Invest Cont,34.0454,-118.3072,2019
