Rating Period ,Calendar Year,Model,County,Health Plan,Category of Aid, Lower Bound , Midpoint , Upper Bound 
1/21-12/21,2021,Regional,Sutter,CA Health & Wellness,SPD,"$1,085.70 ","$1,112.46 ","$1,140.39 "
1/21-12/21,2021,Regional,Sutter,CA Health & Wellness,SPD Dual,$182.43 ,$189.11 ,$196.13 
1/21-12/21,2021,Regional,Sutter,CA Health & Wellness,Maternity,"$10,630.12 ","$10,955.83 ","$11,293.84 "
1/21-12/21,2021,Regional,Tehama,CA Health & Wellness,Child,$70.78 ,$73.93 ,$77.28 
1/21-12/21,2021,Regional,Tehama,CA Health & Wellness,Adult,$301.19 ,$310.12 ,$319.49 
1/21-12/21,2021,Regional,Tehama,CA Health & Wellness,Adult Expansion,$386.59 ,$397.55 ,$409.04 
1/21-12/21,2021,Regional,Tehama,CA Health & Wellness,SPD,"$1,085.70 ","$1,112.46 ","$1,140.39 "
1/21-12/21,2021,Regional,Tehama,CA Health & Wellness,SPD Dual,$182.43 ,$189.11 ,$196.13 
1/21-12/21,2021,Regional,Tehama,CA Health & Wellness,Maternity,"$10,630.12 ","$10,955.83 ","$11,293.84 "
1/21-12/21,2021,Regional,Tuolumne,CA Health & Wellness,Child,$70.78 ,$73.93 ,$77.28 
1/21-12/21,2021,Regional,Tuolumne,CA Health & Wellness,Adult,$301.19 ,$310.12 ,$319.49 
1/21-12/21,2021,Regional,Tuolumne,CA Health & Wellness,Adult Expansion,$386.59 ,$397.55 ,$409.04 
1/21-12/21,2021,Regional,Tuolumne,CA Health & Wellness,SPD,"$1,085.70 ","$1,112.46 ","$1,140.39 "
1/21-12/21,2021,Regional,Tuolumne,CA Health & Wellness,SPD Dual,$182.43 ,$189.11 ,$196.13 
1/21-12/21,2021,Regional,Tuolumne,CA Health & Wellness,Maternity,"$10,630.12 ","$10,955.83 ","$11,293.84 "
1/21-12/21,2021,Regional,Yuba,CA Health & Wellness,Child,$70.78 ,$73.93 ,$77.28 
1/21-12/21,2021,Regional,Yuba,CA Health & Wellness,Adult,$301.19 ,$310.12 ,$319.49 
1/21-12/21,2021,Regional,Yuba,CA Health & Wellness,Adult Expansion,$386.59 ,$397.55 ,$409.04 
1/21-12/21,2021,Regional,Yuba,CA Health & Wellness,SPD,"$1,085.70 ","$1,112.46 ","$1,140.39 "
1/21-12/21,2021,Regional,Yuba,CA Health & Wellness,SPD Dual,$182.43 ,$189.11 ,$196.13 
1/21-12/21,2021,Regional,Yuba,CA Health & Wellness,Maternity,"$10,630.12 ","$10,955.83 ","$11,293.84 "
1/21-12/21,2021,Regional,Amador,Kaiser Foundation HP,Child,$64.98 ,$67.65 ,$70.48 
1/21-12/21,2021,Regional,Amador,Kaiser Foundation HP,Adult,$259.89 ,$267.35 ,$275.17 
1/21-12/21,2021,Regional,Amador,Kaiser Foundation HP,Adult Expansion,$345.46 ,$354.94 ,$364.87 
1/21-12/21,2021,Regional,Amador,Kaiser Foundation HP,SPD,$810.52 ,$830.32 ,$850.97 
1/21-12/21,2021,Regional,Amador,Kaiser Foundation HP,SPD Dual,$118.80 ,$123.16 ,$127.76 
1/21-12/21,2021,Regional,Amador,Kaiser Foundation HP,Maternity,"$10,630.12 ","$10,955.83 ","$11,293.84 "
1/21-12/21,2021,Regional,El Dorado,Kaiser Foundation HP,Child,$64.98 ,$67.65 ,$70.48 
1/21-12/21,2021,Regional,El Dorado,Kaiser Foundation HP,Adult,$259.89 ,$267.35 ,$275.17 
1/21-12/21,2021,Regional,El Dorado,Kaiser Foundation HP,Adult Expansion,$345.46 ,$354.94 ,$364.87 
1/21-12/21,2021,Regional,El Dorado,Kaiser Foundation HP,SPD,$810.52 ,$830.32 ,$850.97 
1/21-12/21,2021,Regional,El Dorado,Kaiser Foundation HP,SPD Dual,$118.80 ,$123.16 ,$127.76 
1/21-12/21,2021,Regional,El Dorado,Kaiser Foundation HP,Maternity,"$10,630.12 ","$10,955.83 ","$11,293.84 "
1/21-12/21,2021,Regional,Placer,Kaiser Foundation HP,Child,$64.98 ,$67.65 ,$70.48 
1/21-12/21,2021,Regional,Placer,Kaiser Foundation HP,Adult,$259.89 ,$267.35 ,$275.17 
1/21-12/21,2021,Regional,Placer,Kaiser Foundation HP,Adult Expansion,$345.46 ,$354.94 ,$364.87 
1/21-12/21,2021,Regional,Placer,Kaiser Foundation HP,SPD,$810.52 ,$830.32 ,$850.97 
1/21-12/21,2021,Regional,Placer,Kaiser Foundation HP,SPD Dual,$118.80 ,$123.16 ,$127.76 
1/21-12/21,2021,Regional,Placer,Kaiser Foundation HP,Maternity,"$10,630.12 ","$10,955.83 ","$11,293.84 "
1/21-12/21,2021,Regional,San Benito,Anthem Blue Cross,Child,$58.08 ,$60.48 ,$63.03 
1/21-12/21,2021,Regional,San Benito,Anthem Blue Cross,Adult,$266.93 ,$274.63 ,$282.70 
