Rating Period,Calendar Year,Model,County,Health Plan Name,Category of Aid, Lower Bound , Upper Bound 
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley ,SPD/Full-Dual - UIS Federally Eligible,$60.22 ,$64.78 
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley ,LTC - UIS Federally Eligible,"$1,156.96 ","$1,226.88 "
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley ,LTC/Full-Dual - UIS Federally Eligible,$113.55 ,$121.07 
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley ,Maternity - UIS Federally Eligible,"$8,023.79 ","$8,378.30 "
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley ,Child - UIS State-Only,$53.19 ,$57.60 
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley ,Adult - UIS State-Only,$125.73 ,$134.31 
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley ,ACA Optional Expansion - UIS State-Only,$151.93 ,$162.11 
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley ,SPD - UIS State-Only,$399.63 ,$423.96 
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley ,SPD/Full-Dual - UIS State-Only,$190.84 ,$201.74 
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley ,LTC - UIS State-Only,"$6,922.54 ","$7,176.39 "
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley ,LTC/Full-Dual - UIS State-Only,"$6,524.42 ","$6,756.25 "
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,Child - SIS,$111.64 ,$120.70 
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,Adult - SIS,$204.56 ,$219.14 
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,ACA Optional Expansion - SIS,$241.19 ,$257.85 
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,SPD - SIS,$792.72 ,$840.52 
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,SPD/Full-Dual - SIS,$199.77 ,$212.65 
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,LTC - SIS,"$8,147.36 ","$8,475.17 "
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,LTC/Full-Dual - SIS,"$7,361.43 ","$7,625.21 "
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,Maternity - SIS,"$8,023.79 ","$8,378.30 "
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,Child - UIS Federally Eligible,$32.15 ,$35.25 
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,Adult - UIS Federally Eligible,$155.95 ,$166.41 
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,ACA Optional Expansion - UIS Federally Eligible,$143.78 ,$153.52 
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,SPD - UIS Federally Eligible,$463.79 ,$492.52 
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,SPD/Full-Dual - UIS Federally Eligible,$60.22 ,$64.78 
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,LTC - UIS Federally Eligible,"$1,156.96 ","$1,226.88 "
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,LTC/Full-Dual - UIS Federally Eligible,$113.55 ,$121.07 
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,Maternity - UIS Federally Eligible,"$8,023.79 ","$8,378.30 "
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,Child - UIS State-Only,$53.19 ,$57.60 
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,Adult - UIS State-Only,$125.73 ,$134.31 
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,ACA Optional Expansion - UIS State-Only,$151.93 ,$162.11 
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,SPD - UIS State-Only,$399.63 ,$423.96 
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,SPD/Full-Dual - UIS State-Only,$190.84 ,$201.74 
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,LTC - UIS State-Only,"$6,922.54 ","$7,176.39 "
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,LTC/Full-Dual - UIS State-Only,"$6,524.42 ","$6,756.25 "
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,Child - SIS,$170.45 ,$185.37 
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,Adult - SIS,$336.24 ,$361.21 
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,ACA Optional Expansion - SIS,$428.49 ,$458.43 
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,SPD - SIS,"$1,491.64 ","$1,579.31 "
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,SPD/Full-Dual - SIS,$709.18 ,$743.71 
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,LTC - SIS,"$1,491.64 ","$1,579.31 "
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,LTC/Full-Dual - SIS,$709.18 ,$743.71 
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,Maternity - SIS,"$10,239.86 ","$10,691.51 "
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,Child - UIS Federally Eligible,$37.82 ,$41.94 
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,Adult - UIS Federally Eligible,$140.87 ,$151.27 
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,ACA Optional Expansion - UIS Federally Eligible,$168.60 ,$180.70 
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,SPD - UIS Federally Eligible,$445.19 ,$474.16 
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,SPD/Full-Dual - UIS Federally Eligible,$135.47 ,$145.55 
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,LTC - UIS Federally Eligible,$445.19 ,$474.16 
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,LTC/Full-Dual - UIS Federally Eligible,$135.47 ,$145.55 
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,Maternity - UIS Federally Eligible,"$10,239.86 ","$10,691.51 "
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,Child - UIS State-Only,$104.94 ,$114.20 
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,Adult - UIS State-Only,$190.91 ,$205.18 
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,ACA Optional Expansion - UIS State-Only,$273.80 ,$292.26 
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,SPD - UIS State-Only,$868.94 ,$918.64 
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,SPD/Full-Dual - UIS State-Only,$557.15 ,$583.78 
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,LTC - UIS State-Only,$868.94 ,$918.64 
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,LTC/Full-Dual - UIS State-Only,$557.15 ,$583.78 
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,Child - SIS,$194.84 ,$211.28 
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,Adult - SIS,$358.84 ,$385.47 
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,ACA Optional Expansion - SIS,$427.08 ,$457.77 
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,SPD - SIS,"$1,011.29 ","$1,073.72 "
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,SPD/Full-Dual - SIS,$454.73 ,$480.49 
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,LTC - SIS,"$1,011.29 ","$1,073.72 "
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,LTC/Full-Dual - SIS,$454.73 ,$480.49 
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,Maternity - SIS,"$10,239.86 ","$10,691.51 "
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,Child - UIS Federally Eligible,$37.82 ,$41.94 
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,Adult - UIS Federally Eligible,$140.87 ,$151.27 
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,ACA Optional Expansion - UIS Federally Eligible,$168.60 ,$180.70 
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,SPD - UIS Federally Eligible,$445.19 ,$474.16 
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,SPD/Full-Dual - UIS Federally Eligible,$135.47 ,$145.55 
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,LTC - UIS Federally Eligible,$445.19 ,$474.16 
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,LTC/Full-Dual - UIS Federally Eligible,$135.47 ,$145.55 
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,Maternity - UIS Federally Eligible,"$10,239.86 ","$10,691.51 "
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,Child - UIS State-Only,$104.94 ,$114.20 
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,Adult - UIS State-Only,$192.70 ,$207.04 
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,ACA Optional Expansion - UIS State-Only,$273.41 ,$291.86 
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,SPD - UIS State-Only,$868.94 ,$918.64 
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,SPD/Full-Dual - UIS State-Only,$557.15 ,$583.78 
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,LTC - UIS State-Only,$868.94 ,$918.64 
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,LTC/Full-Dual - UIS State-Only,$557.15 ,$583.78 
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,Child - SIS,$166.19 ,$180.66 
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,Adult - SIS,$353.97 ,$379.51 
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,ACA Optional Expansion - SIS,$437.26 ,$467.48 
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,SPD - SIS,"$1,484.95 ","$1,572.84 "
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,SPD/Full-Dual - SIS,$727.97 ,$763.10 
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,LTC - SIS,"$1,484.95 ","$1,572.84 "
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,LTC/Full-Dual - SIS,$727.97 ,$763.10 
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,Maternity - SIS,"$11,331.46 ","$11,831.27 "
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,Child - UIS Federally Eligible,$25.84 ,$29.15 
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,Adult - UIS Federally Eligible,$138.15 ,$148.23 
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,ACA Optional Expansion - UIS Federally Eligible,$178.35 ,$190.86 
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,SPD - UIS Federally Eligible,$459.57 ,$489.06 
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,SPD/Full-Dual - UIS Federally Eligible,$106.70 ,$114.89 
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,LTC - UIS Federally Eligible,$459.57 ,$489.06 
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,LTC/Full-Dual - UIS Federally Eligible,$106.70 ,$114.89 
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,Maternity - UIS Federally Eligible,"$11,331.46 ","$11,831.27 "
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,Child - UIS State-Only,$98.88 ,$107.68 
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,Adult - UIS State-Only,$225.84 ,$242.18 
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,ACA Optional Expansion - UIS State-Only,$296.45 ,$316.58 
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,SPD - UIS State-Only,$850.59 ,$900.09 
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,SPD/Full-Dual - UIS State-Only,$504.09 ,$528.95 
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,LTC - UIS State-Only,$850.59 ,$900.09 
1/25-12/25,2025,Single Plan,Contra Costa,Contra Costa Health Plan,LTC/Full-Dual - UIS State-Only,$504.09 ,$528.95 
1/25-12/25,2025,Single Plan,Contra Costa,Kaiser Permanente,Child - SIS,$199.82 ,$216.43 
1/25-12/25,2025,Single Plan,Contra Costa,Kaiser Permanente,Adult - SIS,$414.73 ,$444.77 
1/25-12/25,2025,Single Plan,Contra Costa,Kaiser Permanente,ACA Optional Expansion - SIS,$460.84 ,$493.40 
1/25-12/25,2025,Single Plan,Contra Costa,Kaiser Permanente,SPD - SIS,"$1,180.68 ","$1,253.42 "
1/25-12/25,2025,Single Plan,Contra Costa,Kaiser Permanente,SPD/Full-Dual - SIS,$513.33 ,$541.08 
1/25-12/25,2025,Single Plan,Contra Costa,Kaiser Permanente,LTC - SIS,"$1,180.68 ","$1,253.42 "
1/25-12/25,2025,Single Plan,Contra Costa,Kaiser Permanente,LTC/Full-Dual - SIS,$513.33 ,$541.08 
1/25-12/25,2025,Single Plan,Contra Costa,Kaiser Permanente,Maternity - SIS,"$11,331.46 ","$11,831.27 "
1/25-12/25,2025,Single Plan,Contra Costa,Kaiser Permanente,Child - UIS Federally Eligible,$25.84 ,$29.15 
1/25-12/25,2025,Single Plan,Contra Costa,Kaiser Permanente,Adult - UIS Federally Eligible,$138.15 ,$148.23 
1/25-12/25,2025,Single Plan,Contra Costa,Kaiser Permanente,ACA Optional Expansion - UIS Federally Eligible,$178.35 ,$190.86 
1/25-12/25,2025,Single Plan,Contra Costa,Kaiser Permanente,SPD - UIS Federally Eligible,$459.57 ,$489.06 
