Rating Period ,Calendar Year,Model,County,Health Plan,Category of Aid,Lower Bound,Midpoint,Upper Bound
1/21-12/21,2021,COHS,Napa,Partnership Health Plan,LTC Dual,7320.52,7403.44,7488.28
1/21-12/21,2021,COHS,Napa,Partnership Health Plan,Maternity,11230.67,11547.95,11875.83
1/21-12/21,2021,COHS,Napa,Partnership Health Plan,OBRA,392.08,403.06,414.47
1/21-12/21,2021,COHS,Napa,Partnership Health Plan,SPD,1280.06,1309.82,1340.64
1/21-12/21,2021,COHS,Napa,Partnership Health Plan,SPD Dual,310.56,317.2,324.09
1/21-12/21,2021,COHS,Napa,Partnership Health Plan,WCM,2281.81,2340.75,2401.85
1/21-12/21,2021,COHS,Napa,Partnership Health Plan,Behavioral Health Treatment 0-6,3122.8,3203.14,3286.03
1/21-12/21,2021,COHS,Napa,Partnership Health Plan,Behavioral Health Treatment 7-20,2203.8,2260.5,2319
1/21-12/21,2021,COHS,Napa,Partnership Health Plan,Hep C 340B,1722.85,1722.85,1759.31
1/21-12/21,2021,COHS,Napa,Partnership Health Plan,Hep C Non-340B,2184.11,2184.11,2285.16
1/21-12/21,2021,COHS,Orange,CalOptima,Adult Expansion,413.87,423.41,433.32
1/21-12/21,2021,COHS,Orange,CalOptima,Adult,276.61,283.17,289.99
1/21-12/21,2021,COHS,Orange,CalOptima,Behavioral Health Treatment 0-6,2276.53,2335.04,2395.41
1/21-12/21,2021,COHS,Orange,CalOptima,Behavioral Health Treatment 7-20,1699.87,1743.56,1788.64
1/21-12/21,2021,COHS,Orange,CalOptima,Child,87.45,90.34,93.36
1/21-12/21,2021,COHS,Orange,CalOptima,Health Homes Dual,134.7,141.33,148.66
1/21-12/21,2021,COHS,Orange,CalOptima,Health Homes Non-Dual,550.8,583.66,616.32
1/21-12/21,2021,COHS,Orange,CalOptima,Hep C 340B,1722.85,1722.85,1759.31
1/21-12/21,2021,COHS,Orange,CalOptima,Hep C Non-340B,2184.11,2184.11,2285.16
1/21-12/21,2021,COHS,Orange,CalOptima,LTC,12611.54,12772.22,12937.05
1/21-12/21,2021,COHS,Orange,CalOptima,LTC Dual,7859.49,7947.18,8036.87
1/21-12/21,2021,COHS,Orange,CalOptima,Maternity,6345.86,6524.99,6710.1
1/21-12/21,2021,COHS,Orange,CalOptima,SPD,829.06,846.09,863.73
1/21-12/21,2021,COHS,Orange,CalOptima,SPD Dual,211.97,216.86,221.94
1/21-12/21,2021,COHS,Orange,CalOptima,WCM,1983.35,2026.08,2070.33
1/21-12/21,2021,COHS,San Luis Obispo,CenCal Health,Adult Expansion,379.6,388.27,397.28
1/21-12/21,2021,COHS,San Luis Obispo,CenCal Health,Adult,307.88,315.13,322.66
1/21-12/21,2021,COHS,San Luis Obispo,CenCal Health,Behavioral Health Treatment 0-6,2834.83,2908.15,2983.81
1/21-12/21,2021,COHS,San Luis Obispo,CenCal Health,Behavioral Health Treatment 7-20,1918.44,1968.06,2019.26
1/21-12/21,2021,COHS,San Luis Obispo,CenCal Health,Child,83.27,86.02,88.89
1/21-12/21,2021,COHS,San Luis Obispo,CenCal Health,Hep C 340B,1722.85,1722.85,1759.31
1/21-12/21,2021,COHS,San Luis Obispo,CenCal Health,Hep C Non-340B,2184.11,2184.11,2285.16
1/21-12/21,2021,COHS,San Luis Obispo,CenCal Health,LTC,8151.24,8259.03,8369.67
1/21-12/21,2021,COHS,San Luis Obispo,CenCal Health,LTC Dual,6733.32,6809.77,6887.99
