Rate Period,Calendar,Model,County,Health Plan,Category of Aid,Lower Bound,Midpoint,Upper Bound
01/21-12/21,2021,GMC,Sacramento,Molina Healthcare,Child,$71.74 ,$74.99 ,$78.44 
01/21-12/21,2021,GMC,Sacramento,Molina Healthcare,Maternity,"$8,990.40 ","$9,265.88 ","$9,551.78 "
01/21-12/21,2021,GMC,Sacramento,Molina Healthcare,Adult Expansion,$319.57 ,$329.25 ,$339.40 
01/21-12/21,2021,GMC,Sacramento,Molina Healthcare,SPD,$892.81 ,$916.64 ,$941.51 
01/21-12/21,2021,GMC,Sacramento,Molina Healthcare,SPD Dual,$146.30 ,$151.87 ,$157.74 
01/21-12/21,2021,GMC,Sacramento,Molina Healthcare,Health Homes Non-Dual,$350.48 ,$355.22 ,$372.91 
01/21-12/21,2021,GMC,Sacramento,Molina Healthcare,Health Homes Dual,$87.42 ,$90.90 ,$94.71 
01/21-12/21,2021,GMC,San Diego,Molina Healthcare,Adult,$264.76 ,$272.79 ,$281.21 
01/21-12/21,2021,GMC,San Diego,Molina Healthcare,Behavioral Health Treatment 0-6,"$2,256.25 ","$2,319.68 ","$2,385.41 "
01/21-12/21,2021,GMC,San Diego,Molina Healthcare,Behavioral Health Treatment 7-20,"$1,972.80 ","$2,028.27 ","$2,085.74 "
01/21-12/21,2021,GMC,San Diego,Molina Healthcare,Child,$81.44 ,$84.92 ,$88.61 
01/21-12/21,2021,GMC,San Diego,Molina Healthcare,Maternity,"$7,512.15 ","$7,742.39 ","$7,981.33 "
01/21-12/21,2021,GMC,San Diego,Molina Healthcare,Adult Expansion,$341.48 ,$351.19 ,$361.37 
01/21-12/21,2021,GMC,San Diego,Molina Healthcare,SPD,$979.45 ,"$1,003.64 ","$1,028.88 "
01/21-12/21,2021,GMC,San Diego,Molina Healthcare,SPD Dual,$145.55 ,$150.88 ,$156.49 
01/21-12/21,2021,GMC,San Diego,Molina Healthcare,Health Homes Non-Dual,$422.89 ,$428.52 ,$449.97 
01/21-12/21,2021,GMC,San Diego,Molina Healthcare,Health Homes Dual,$128.32 ,$133.48 ,$139.13 
01/21-12/21,2021,GMC,Sacramento,Molina Healthcare,Hep C Non-340B,"$2,184.11 ","$2,184.11 ","$2,285.16 "
01/21-12/21,2021,GMC,Sacramento,Molina Healthcare,Hep C 340B,"$1,722.85 ","$1,722.85 ","$1,759.31 "
01/21-12/21,2021,GMC,San Diego,Molina Healthcare,Hep C Non-340B,"$2,184.11 ","$2,184.11 ","$2,285.16 "
01/21-12/21,2021,GMC,San Diego,Molina Healthcare,Hep C 340B,"$1,722.85 ","$1,722.85 ","$1,759.31 "
01/21-12/21,2021,GMC,San Diego,United Healthcare,Behavioral Health Treatment 0-6,"$2,440.65 ","$2,509.28 ","$2,580.38 "
01/21-12/21,2021,GMC,San Diego,United Healthcare,Behavioral Health Treatment 7-20,"$1,973.57 ","$2,029.06 ","$2,086.55 "
01/21-12/21,2021,GMC,San Diego,United Healthcare,Hep C Non-340B,"$2,184.11 ","$2,184.11 ","$2,285.16 "
01/21-12/21,2021,GMC,San Diego,United Healthcare,Hep C 340B,"$1,722.85 ","$1,722.85 ","$1,759.31 "
01/21-12/21,2021,GMC,San Diego,United Healthcare,Adult,$266.87 ,$274.98 ,$283.50 
01/21-12/21,2021,GMC,San Diego,United Healthcare,Child,$82.74 ,$86.36 ,$90.21 
01/21-12/21,2021,GMC,San Diego,United Healthcare,Maternity,"$7,512.15 ","$7,742.39 ","$7,981.33 "
01/21-12/21,2021,GMC,San Diego,United Healthcare,Adult Expansion,$344.51 ,$354.33 ,$364.62 
01/21-12/21,2021,GMC,San Diego,United Healthcare,SPD,$946.74 ,$970.05 ,$994.38 
01/21-12/21,2021,GMC,San Diego,United Healthcare,SPD Dual,$138.56 ,$143.74 ,$149.20 
01/21-12/21,2021,GMC,San Diego,United Healthcare,Health Homes Non-Dual,$413.17 ,$418.63 ,$439.92 
01/21-12/21,2021,GMC,San Diego,United Healthcare,Health Homes Dual,$122.49 ,$127.41 ,$132.81 
01/21-12/21,2021,GMC,San Diego, Blue Shield Promise Health Plan of California,Adult,$238.06 ,$245.37 ,$253.04 
01/21-12/21,2021,GMC,San Diego, Blue Shield Promise Health Plan of California,Child,$79.93 ,$83.42 ,$87.13 
01/21-12/21,2021,GMC,San Diego, Blue Shield Promise Health Plan of California,Maternity,"$7,512.15 ","$7,742.39 ","$7,981.33 "
