Rating Period,Calendar Year,Model,County,Health Plan,Category of Aid, Lower Bound , Midpoint , Upper Bound 
1/21-12/21,2021,Two-Plan,Los Angeles,Health Net of California,Adult,200.88,206.93,213.27
1/21-12/21,2021,Two-Plan,Los Angeles,Health Net of California,Adult Expansion,289.55,297.8,306.45
1/21-12/21,2021,Two-Plan,Los Angeles,Health Net of California,Behavioral Health Treatment 0-6,"3,030.70","3,115.92","3,204.21"
1/21-12/21,2021,Two-Plan,Los Angeles,Health Net of California,Behavioral Health Treatment 7-20,"2,373.04","2,439.77","2,508.90"
1/21-12/21,2021,Two-Plan,Los Angeles,Health Net of California,Child,72.6,75.61,78.79
1/21-12/21,2021,Two-Plan,Los Angeles,Health Net of California,Hep C 340B,"1,722.85","1,722.85","1,759.31"
1/21-12/21,2021,Two-Plan,Los Angeles,Health Net of California,Hep C Non-340B,"2,184.11","2,184.11","2,285.16"
1/21-12/21,2021,Two-Plan,Los Angeles,Health Net of California,Maternity,"7,350.22","7,575.48","7,809.25"
1/21-12/21,2021,Two-Plan,Los Angeles,Health Net of California,SPD,652.13,668.2,684.97
1/21-12/21,2021,Two-Plan,Los Angeles,Health Net of California,SPD Dual,144.12,148.89,153.9
1/21-12/21,2021,Two-Plan,Los Angeles,LA Care,Adult,210.25,216.59,223.26
1/21-12/21,2021,Two-Plan,Los Angeles,LA Care,Adult Expansion,294.65,303.1,311.96
1/21-12/21,2021,Two-Plan,Los Angeles,LA Care,Behavioral Health Treatment 0-6,"3,045.69","3,131.33","3,220.05"
1/21-12/21,2021,Two-Plan,Los Angeles,LA Care,Behavioral Health Treatment 7-20,"2,375.69","2,442.48","2,511.69"
1/21-12/21,2021,Two-Plan,Los Angeles,LA Care,Child,77.88,81.1,84.51
1/21-12/21,2021,Two-Plan,Los Angeles,LA Care,Hep C 340B,"1,722.85","1,722.85","1,759.31"
1/21-12/21,2021,Two-Plan,Los Angeles,LA Care,Hep C Non-340B,"2,184.11","2,184.11","2,285.16"
1/21-12/21,2021,Two-Plan,Los Angeles,LA Care,Maternity,"7,350.22","7,575.48","7,809.25"
1/21-12/21,2021,Two-Plan,Los Angeles,LA Care,SPD,787.69,807.01,827.15
1/21-12/21,2021,Two-Plan,Los Angeles,LA Care,SPD Dual,134.52,138.98,143.68
1/21-12/21,2021,Two-Plan,Los Angeles,LA Care,Health Homes Non-Dual,385.87,391.1,410.5
1/21-12/21,2021,Two-Plan,Los Angeles,LA Care,Health Homes Dual,97.35,101.07,105.15
1/21-12/21,2021,Two-Plan,Madera,Anthem Blue Cross,Adult,206.66,212.4,218.42
1/21-12/21,2021,Two-Plan,Madera,Anthem Blue Cross,Adult Expansion,264.06,271.06,278.39
1/21-12/21,2021,Two-Plan,Madera,Anthem Blue Cross,Behavioral Health Treatment 0-6,"3,666.05","3,769.13","3,875.93"
1/21-12/21,2021,Two-Plan,Madera,Anthem Blue Cross,Behavioral Health Treatment 7-20,"2,689.21","2,764.82","2,843.16"
1/21-12/21,2021,Two-Plan,Madera,Anthem Blue Cross,Child,65.38,67.92,70.62
1/21-12/21,2021,Two-Plan,Madera,Anthem Blue Cross,Hep C 340B,"1,722.85","1,722.85","1,759.31"
1/21-12/21,2021,Two-Plan,Madera,Anthem Blue Cross,Hep C Non-340B,"2,184.11","2,184.11","2,285.16"
1/21-12/21,2021,Two-Plan,Madera,Anthem Blue Cross,Maternity,"7,094.08","7,311.48","7,537.10"
1/21-12/21,2021,Two-Plan,Madera,Anthem Blue Cross,SPD,734.72,752.24,770.5
1/21-12/21,2021,Two-Plan,Madera,Anthem Blue Cross,SPD Dual,140.92,145.62,150.54
1/21-12/21,2021,Two-Plan,Madera,CalViva Health,Adult,257.67,264.67,272
1/21-12/21,2021,Two-Plan,Madera,CalViva Health,Adult Expansion,320.66,328.81,337.34
1/21-12/21,2021,Two-Plan,Madera,CalViva Health,Behavioral Health Treatment 0-6,"3,650.91","3,753.56","3,859.91"
1/21-12/21,2021,Two-Plan,Madera,CalViva Health,Behavioral Health Treatment 7-20,"2,649.93","2,724.43","2,801.63"
1/21-12/21,2021,Two-Plan,Madera,CalViva Health,Child,70.67,73.4,76.3
1/21-12/21,2021,Two-Plan,Madera,CalViva Health,Hep C 340B,"1,722.85","1,722.85","1,759.31"
1/21-12/21,2021,Two-Plan,Madera,CalViva Health,Hep C Non-340B,"2,184.11","2,184.11","2,285.16"
1/21-12/21,2021,Two-Plan,Madera,CalViva Health,Maternity,"7,094.08","7,311.48","7,537.10"
1/21-12/21,2021,Two-Plan,Madera,CalViva Health,SPD,927.82,949.93,972.99
1/21-12/21,2021,Two-Plan,Madera,CalViva Health,SPD Dual,142.44,147.29,152.38
1/21-12/21,2021,Two-Plan,Riverside,Inland Empire Health Plan,Adult,297.33,305.78,314.64
1/21-12/21,2021,Two-Plan,Riverside,Inland Empire Health Plan,Adult Expansion,385.07,395.37,406.15
1/21-12/21,2021,Two-Plan,Riverside,Inland Empire Health Plan,Behavioral Health Treatment 0-6,"2,642.42","2,716.71","2,793.69"
