Rating Period,Calendar Year,Model,County,PACE Organization,Category of Aid,Lower Bound,Midpoint,Upper Bound,AWOP
07/2021-12/2021,2021,PACE,Los Angeles,Pacific PACE,Non-Dual,"$7,722.24 ","$8,223.69 ","$8,782.50 ","$8,573.35 "
07/2021-12/2021,2021,PACE,Humboldt,Redwood Coast,Full-Dual,"$4,976.43 ","$5,286.24 ","$5,631.36 ","$6,350.19 "
07/2021-12/2021,2021,PACE,Humboldt,Redwood Coast,Non-Dual,"$7,666.41 ","$8,154.82 ","$8,699.00 ","$10,472.65 "
07/2021-12/2021,2021,PACE,San Diego,San Diego PACE,Full-Dual,"$4,341.52 ","$4,616.31 ","$4,922.45 ","$5,398.44 "
07/2021-12/2021,2021,PACE,San Diego,San Diego PACE,Non-Dual,"$6,458.62 ","$6,875.02 ","$7,339.02 ","$8,882.85 "
07/2021-12/2021,2021,PACE,Fresno,Sequoia,Full-Dual,"$4,607.95 ","$4,895.65 ","$5,216.15 ","$5,340.73 "
07/2021-12/2021,2021,PACE,Fresno,Sequoia,Non-Dual,"$6,973.96 ","$7,418.40 ","$7,913.61 ","$8,754.44 "
07/2021-12/2021,2021,PACE,Kings,Sequoia,Full-Dual,"$4,607.95 ","$4,895.65 ","$5,216.15 ","$5,340.73 "
07/2021-12/2021,2021,PACE,Kings,Sequoia,Non-Dual,"$6,973.96 ","$7,418.40 ","$7,913.61 ","$8,754.44 "
07/2021-12/2021,2021,PACE,Madera,Sequoia,Full-Dual,"$4,607.95 ","$4,895.65 ","$5,216.15 ","$5,340.73 "
07/2021-12/2021,2021,PACE,Madera,Sequoia,Non-Dual,"$6,973.96 ","$7,418.40 ","$7,913.61 ","$8,754.44 "
07/2021-12/2021,2021,PACE,Tulare,Sequoia,Full-Dual,"$4,607.95 ","$4,895.65 ","$5,216.15 ","$5,340.73 "
07/2021-12/2021,2021,PACE,Tulare,Sequoia,Non-Dual,"$6,973.96 ","$7,418.40 ","$7,913.61 ","$8,754.44 "
07/2021-12/2021,2021,PACE,San Diego,St. Paul's PACE,Full-Dual,"$3,769.25 ","$4,011.84 ","$4,282.16 ","$5,398.44 "
07/2021-12/2021,2021,PACE,San Diego,St. Paul's PACE,Non-Dual,"$5,544.30 ","$5,907.14 ","$6,311.50 ","$8,882.85 "
07/2021-12/2021,2021,PACE,San Joaquin,Stockton PACE,Full-Dual,"$5,276.14 ","$5,607.37 ","$5,976.38 ","$5,766.30 "
07/2021-12/2021,2021,PACE,San Joaquin,Stockton PACE,Non-Dual,"$8,083.37 ","$8,600.74 ","$9,177.21 ","$9,480.44 "
07/2021-12/2021,2021,PACE,Stanislaus,Stockton PACE,Full-Dual,"$5,276.14 ","$5,607.37 ","$5,976.38 ","$5,766.30 "
07/2021-12/2021,2021,PACE,Stanislaus,Stockton PACE,Non-Dual,"$8,083.37 ","$8,600.74 ","$9,177.21 ","$9,480.44 "
07/2021-12/2021,2021,PACE,Sacramento,Sutter Senior Care,Full-Dual,"$5,199.43 ","$5,526.25 ","$5,890.34 ","$6,135.44 "
07/2021-12/2021,2021,PACE,Sacramento,Sutter Senior Care,Non-Dual,"$7,940.49 ","$8,449.18 ","$9,015.99 ","$9,740.46 "
01/2022-6/2022,2022,PACE,Los Angeles,AltaMed Senior Care,Full-Dual,"$4,197.13 ","$4,397.54 ","$4,615.28 ","$6,422.25 "
