Contract,PartC_FAC,PartD_FAC,Overall_FAC,PartC_CAI,PartD_CAI,Overall_CAI
H3890,3.0,2.0,2.0,-0.013699,-0.014987,-0.040422
H3907,3.0,2.0,2.0,-0.013699,-0.014987,-0.040422
H3909,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H3916,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H3923,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H3924,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H3928,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H3931,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H3949,6.0,4.0,6.0,0.059788,0.046282,0.045683
H3952,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H3954,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H3957,3.0,2.0,2.0,-0.013699,-0.014987,-0.040422
H3959,5.0,4.0,6.0,0.032302,0.046282,0.045683
H3962,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H3975,5.0,4.0,7.0,0.032302,0.046282,0.058145
H3979,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H4003,7.0,5.0,8.0,0.080451,0.072332,0.101257
H4004,7.0,5.0,8.0,0.080451,0.072332,0.101257
H4005,6.0,3.0,8.0,0.059788,-0.002688,0.101257
H4026,,,,,,
H4032,,,,,,
H4036,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H4045,6.0,5.0,8.0,0.059788,0.072332,0.101257
H4054,7.0,5.0,8.0,0.080451,0.072332,0.101257
H4057,,,,,,
H4073,6.0,4.0,7.0,0.059788,0.046282,0.058145
H4091,7.0,5.0,8.0,0.080451,0.072332,0.101257
H4093,7.0,4.0,8.0,0.080451,0.046282,0.101257
H4140,4.0,2.0,4.0,0.004022,-0.014987,0.003256
H4141,5.0,4.0,6.0,0.032302,0.046282,0.045683
H4152,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H4158,,,,,,
H4161,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H4172,7.0,5.0,8.0,0.080451,0.072332,0.101257
H4193,,,,,,
H4213,4.0,4.0,5.0,0.004022,0.046282,0.01879
H4227,8.0,6.0,9.0,0.10237,0.128476,0.145515
H4232,7.0,5.0,8.0,0.080451,0.072332,0.101257
H4279,8.0,6.0,9.0,0.10237,0.128476,0.145515
H4286,4.0,2.0,4.0,0.004022,-0.014987,0.003256
H4329,,,,,,
H4346,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H4348,,,,,,
H4371,,,,,,
H4407,5.0,3.0,5.0,0.032302,-0.002688,0.01879
H4439,7.0,5.0,8.0,0.080451,0.072332,0.101257
H4444,,,,,,
H4461,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H4471,6.0,5.0,8.0,0.059788,0.072332,0.101257
H4473,,,,,,
H4490,7.0,5.0,8.0,0.080451,0.072332,0.101257
H4497,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H4499,,,,,,
H4506,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H4513,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H4514,6.0,4.0,7.0,0.059788,0.046282,0.058145
H4523,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H4527,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H4537,5.0,4.0,7.0,0.032302,0.046282,0.058145
H4544,4.0,4.0,5.0,0.004022,0.046282,0.01879
H4604,3.0,2.0,2.0,-0.013699,-0.014987,-0.040422
H4605,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H4610,,,,,,
H4623,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H4624,6.0,5.0,7.0,0.059788,0.072332,0.058145
H4647,,,,,,
H4661,7.0,5.0,8.0,0.080451,0.072332,0.101257
H4676,5.0,4.0,7.0,0.032302,0.046282,0.058145
H4694,,,,,,
H4704,8.0,6.0,9.0,0.10237,0.128476,0.145515
H4711,7.0,4.0,8.0,0.080451,0.046282,0.101257
H4733,7.0,5.0,8.0,0.080451,0.072332,0.101257
H4739,6.0,5.0,8.0,0.059788,0.072332,0.101257
H4754,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H4808,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H4835,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H4847,6.0,5.0,7.0,0.059788,0.072332,0.058145
H4868,6.0,3.0,8.0,0.059788,-0.002688,0.101257
H4869,5.0,3.0,6.0,0.032302,-0.002688,0.045683
H4875,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H4882,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H4909,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H4931,7.0,5.0,8.0,0.080451,0.072332,0.101257
H4937,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H4939,,,,,,
H4961,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H4982,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H5008,8.0,6.0,9.0,0.10237,0.128476,0.145515
H5009,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H5015,7.0,5.0,8.0,0.080451,0.072332,0.101257
H5042,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H5050,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H5087,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H5106,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H5117,,,,,,
H5119,,,,,,
H5141,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H5163,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H5178,5.0,4.0,5.0,0.032302,0.046282,0.01879
H5190,,,,,,
H5209,8.0,6.0,9.0,0.10237,0.128476,0.145515
H5211,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H5215,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H5216,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H5232,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H5244,5.0,3.0,5.0,0.032302,-0.002688,0.01879
H5253,5.0,3.0,5.0,0.032302,-0.002688,0.01879
H5256,1.0,,,-0.058259,,
H5262,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H5264,1.0,,,-0.058259,,
H5272,,,,,,
H5273,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H5294,6.0,4.0,7.0,0.059788,0.046282,0.058145
H5296,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H5299,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H5302,7.0,5.0,8.0,0.080451,0.072332,0.101257
H5314,,,,,,
H5322,7.0,5.0,8.0,0.080451,0.072332,0.101257
H5325,8.0,6.0,9.0,0.10237,0.128476,0.145515
H5361,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H5374,7.0,5.0,8.0,0.080451,0.072332,0.101257
H5377,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H5386,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H5397,,,,,,
H5410,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H5420,4.0,2.0,4.0,0.004022,-0.014987,0.003256
H5422,6.0,4.0,6.0,0.059788,0.046282,0.045683
H5425,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H5427,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H5431,4.0,2.0,4.0,0.004022,-0.014987,0.003256
H5433,6.0,5.0,8.0,0.059788,0.072332,0.101257
