FIPS,County,State,Total OB-GYNs,Connected OB-GYNs,Hub Providers,Isolated OB-GYNs,Mean Degree,Pct Connected,Pct Isolated,Pct Hub,Subspecialties,Total Births,Morbidity Births,Morbidity Rate Raw,OB-GYN per 10K Births,Mean Betweenness,Mean Shared Patients,Morbidity Rate (%)
51179,"Stafford County, VA",VA,12,0,0,12,0.0,0.0,100.0,0.0,3,1711,0.0,0.0,70.1,0.0,0.0,0.0
51510,"Alexandria city, VA",VA,49,6,0,43,0.31,12.2,87.8,0.0,5,2823,0.0,0.0,173.6,1.5e-05,5.4,0.0
51550,"Chesapeake city, VA",VA,34,9,2,25,1.47,26.5,73.5,5.9,5,2877,23.0,0.0079944386513729,118.2,0.000887,23.6,0.8
51650,"Hampton city, VA",VA,8,2,0,6,0.38,25.0,75.0,0.0,1,1727,0.0,0.0,46.3,4e-06,6.1,0.0
51700,"Newport News city, VA",VA,50,12,1,38,1.0,24.0,76.0,2.0,4,2814,13.0,0.0046197583511016,177.7,8e-06,19.4,0.46
51710,"Norfolk city, VA",VA,85,20,2,65,2.54,23.5,76.5,2.4,7,3547,40.0,0.0112771356075556,239.6,9.5e-05,49.2,1.13
51760,"Richmond city, VA",VA,40,9,1,31,0.75,22.5,77.5,2.5,4,3028,30.0,0.0099075297225891,132.1,3e-06,13.3,0.99
51810,"Virginia Beach city, VA",VA,50,8,0,42,0.46,16.0,84.0,0.0,3,5925,39.0,0.0065822784810126,84.4,3e-06,6.5,0.66
53005,"Benton County, WA",WA,34,8,0,26,0.62,23.5,76.5,0.0,3,2759,145.0,0.0525552736498731,123.2,0.0,8.1,5.26
53011,"Clark County, WA",WA,104,6,0,98,0.36,5.8,94.2,0.0,6,5665,92.0,0.0162400706090026,183.6,1e-06,5.0,1.62
53015,"Cowlitz County, WA",WA,13,2,0,11,0.23,15.4,84.6,0.0,1,1285,16.0,0.0124513618677042,101.2,0.0,2.8,1.25
53033,"King County, WA",WA,598,41,3,557,0.32,6.9,93.1,0.5,7,26022,561.0,0.0215586811159787,229.8,0.0,4.8,2.16
53035,"Kitsap County, WA",WA,25,7,1,18,1.68,28.0,72.0,4.0,3,3147,37.0,0.0117572291070861,79.4,0.0,32.5,1.18
53053,"Pierce County, WA",WA,121,15,2,106,0.87,12.4,87.6,1.7,7,11756,134.0,0.0113984348417829,102.9,5e-06,14.4,1.14
53057,"Skagit County, WA",WA,23,4,0,19,0.39,17.4,82.6,0.0,1,1515,15.0,0.0099009900990099,151.8,0.0,6.7,0.99
53061,"Snohomish County, WA",WA,86,3,1,83,0.23,3.5,96.5,1.2,6,10041,120.0,0.011951000896325,85.6,0.0,5.5,1.2
53063,"Spokane County, WA",WA,89,10,2,79,1.15,11.2,88.8,2.2,6,6145,119.0,0.0193653376729048,144.8,0.0,19.7,1.94
53067,"Thurston County, WA",WA,42,8,0,34,0.29,19.0,81.0,0.0,5,3205,49.0,0.0152886115444617,131.0,0.0,4.5,1.53
53073,"Whatcom County, WA",WA,35,3,0,32,0.31,8.6,91.4,0.0,4,2279,10.0,0.0043878894251864,153.6,0.0,4.9,0.44
53077,"Yakima County, WA",WA,41,8,0,33,0.54,19.5,80.5,0.0,3,3935,48.0,0.0121982210927573,104.2,0.0,7.1,1.22
54003,"Berkeley County, WV",WV,10,6,0,4,2.3,60.0,40.0,0.0,2,1393,20.0,0.0143575017946877,71.8,6e-06,33.8,1.44
