ID,Neighborhood,Total Jobs,Total Jobs Change,Number of jobs in NAICS sector 22 (Utilities),Change Utilities,Number of jobs in NAICS sector 23 (Construction),Change Construction,Number of jobs in NAICS sector 31-33 (Manufacturing),Change Manufacturing,Number of jobs in NAICS sector 42 (Wholesale Trade),Change Wholesale Trade,Number of jobs in NAICS sector 44-45 (Retail Trade),Change Retail Trade,Number of jobs in NAICS sector 48-49 (Transportation and Warehousing),Change Transportation and Warehousing,Number of jobs in NAICS sector 51 (Information),Change Information,Number of jobs in NAICS sector 52 (Finance and Insurance),Change Finance and Insurance,Number of jobs in NAICS sector 53 (Real Estate and Rental and Leasing),Change Real Estate and Leasing,"Number of jobs in NAICS sector 54 (Professional, Scientific, and Technical Services)",Change Professional Services,Number of jobs in NAICS sector 55 (Management of Companies and Enterprises),Change Management,Number of jobs in NAICS sector 56 (Administrative and Support and Waste Management and Remediation Services),Change Waste Management,Number of jobs in NAICS sector 61 (Educational Services),Change Educational Services,Number of jobs in NAICS sector 62 (Health Care and Social Assistance),Change Health Care,"Number of jobs in NAICS sector 71 (Arts, Entertainment, and Recreation)",Change Arts and Rec,Number of jobs in NAICS sector 72 (Accommodation and Food Services),Change Accomodation and Food Service,Number of jobs in NAICS sector 81 (Other Services [except Public Administration]),Change Other Services
106,Temple-Beaudry,12718,-2159,47,1,316,-13,690,-48,576,-35,1215,-122,339,-27,1153,-380,405,12,306,-21,942,-85,196,-12,963,-96,823,-181,2069,-124,340,-133,1720,-722,618,-173
107,Thai Town,4955,-908,11,0,70,-3,165,-12,146,-9,441,-44,112,-9,795,-262,162,5,115,-8,449,-40,41,-2,283,-28,272,-60,904,-54,160,-62,627,-263,202,-57
108,Toluca Lake,4867,-1025,12,0,97,-4,130,-9,138,-8,312,-31,55,-4,1540,-508,132,4,108,-8,454,-41,60,-4,265,-27,262,-58,528,-32,190,-74,415,-174,169,-47
109,Toluca Woods,1546,-311,7,0,47,-2,52,-4,43,-3,108,-11,18,-1,414,-137,41,1,34,-2,151,-14,13,-1,96,-10,94,-21,181,-11,72,-28,123,-52,52,-15
110,Tujunga,12416,-1774,77,2,457,-18,626,-44,455,-27,1222,-122,275,-22,859,-283,444,13,241,-17,894,-80,129,-8,733,-73,969,-213,3229,-194,319,-124,1049,-441,438,-123
111,University Hills,1894,-294,16,0,57,-2,137,-10,109,-7,194,-19,58,-5,101,-33,43,1,28,-2,114,-10,22,-1,153,-15,213,-47,326,-20,51,-20,200,-84,72,-20
112,University Park,6188,-976,20,0,223,-9,431,-30,261,-16,706,-71,203,-16,271,-89,201,6,136,-10,438,-39,92,-6,567,-57,572,-126,869,-52,152,-59,776,-326,270,-76
113,Valley Glen,11950,-2016,22,0,403,-16,589,-41,384,-23,1142,-114,226,-18,1742,-575,357,11,234,-16,831,-75,127,-8,779,-78,785,-173,2367,-142,333,-130,1152,-484,477,-134
114,Valley Village,11095,-2139,18,0,259,-10,369,-26,328,-20,804,-80,184,-15,2552,-842,393,12,236,-17,983,-88,107,-6,642,-64,694,-153,1617,-97,420,-164,1089,-457,400,-112
115,Van Nuys,37031,-5779,105,2,1566,-63,2163,-151,1410,-85,4208,-421,959,-77,3217,-1062,1263,38,872,-61,2353,-212,499,-30,2836,-284,2100,-462,6981,-419,858,-335,4121,-1731,1520,-426
116,Venice,15414,-2809,45,1,288,-12,636,-45,583,-35,1221,-122,357,-29,2580,-851,603,18,458,-32,2208,-199,224,-13,809,-81,1183,-260,1478,-89,554,-216,1654,-695,533,-149
117,Vermont Knolls,6196,-901,38,1,212,-8,404,-28,268,-16,631,-63,436,-35,175,-58,127,4,111,-8,228,-21,63,-4,650,-65,502,-110,1266,-76,135,-53,673,-283,277,-78
118,Vermont Square,2984,-451,16,0,92,-4,215,-15,137,-8,324,-32,167,-13,103,-34,73,2,53,-4,143,-13,48,-3,313,-31,203,-45,515,-31,55,-21,364,-153,163,-46
119,Vermont Vista,11756,-1679,32,1,450,-18,1064,-74,560,-34,1252,-125,778,-62,274,-90,263,8,230,-16,455,-41,137,-8,1308,-131,763,-168,2141,-128,186,-73,1411,-593,452,-127
